"origin"
"PSP"
"CSG"
"MSO"
"ONT"
"OGD"
"IAG"
"ESC"
"GJT"
"MFE"
"DFW"
"SLN"
"PSE"
"MOT"
"IMT"
"EKO"
"CGI"
"BQN"
"MAF"
"LNK"
"PNS"
"OAK"
"RIC"
"ELM"
"LIT"
"STL"
"ATY"
"TXK"
"DRT"
"HIB"
"PWM"
"PIR"
"CHO"
"ART"
"ACK"
"SPN"
"ERI"
"BZN"
"LFT"
"BRO"
"ROP"
"EYW"
"PHL"
"GUM"
"SLC"
"ALO"
"CRW"
"XWA"
"GUC"
"RFD"
"BKG"
"XNA"
"SFO"
"BLI"
"ATL"
"JMS"
"CPR"
"MKG"
"ACT"
"JLN"
"MLU"
"PAE"
"BIS"
"ORH"
"TTN"
"PQI"
"MHK"
"MQT"
"PUW"
"ICT"
"YNG"
"ROA"
"LIH"
"PLN"
"MCI"
"BMI"
"GSO"
"PGD"
"ITH"
"LNY"
"TOL"
"MSY"
"SBN"
"CHA"
"EWN"
"SRQ"
"SGU"
"PSC"
"BUR"
"SDF"
"LCH"
"LSE"
"FAR"
"BWI"
"ISN"
"MVY"
"CMH"
"ECP"
"OAJ"
"MFR"
"LGB"
"GTF"
"SJT"
"SNA"
"FAI"
"GST"
"IND"
"LAR"
"RHI"
"CLE"
"HSV"
"DAL"
"PVU"
"APN"
"DAB"
"WYS"
"GNV"
"RDU"
"VLD"
"RNO"
"COD"
"RST"
"TVC"
"SAN"
"CLL"
"LWB"
"VPS"
"ALB"
"AVL"
"MEI"
"OTH"
"HDN"
"PSG"
"GRK"
"RSW"
"ACY"
"CDV"
"CVG"
"MEM"
"EVV"
"BTM"
"PAH"
"CRP"
"HNL"
"AMA"
"GRB"
"PIA"
"CDC"
"ANC"
"CLT"
"LAX"
"BET"
"DIK"
"GPT"
"AUS"
"CAK"
"CNY"
"PUB"
"AGS"
"SWO"
"SBA"
"KOA"
"DBQ"
"AKN"
"CMX"
"MDW"
"STT"
"RAP"
"GRR"
"MCO"
"CYS"
"HOB"
"HGR"
"PSM"
"YKM"
"ADK"
"BGM"
"TWF"
"HRL"
"EWR"
"LBE"
"STS"
"HTS"
"PHX"
"MBS"
"FAT"
"SWF"
"ABE"
"LEX"
"CHS"
"MIA"
"SMX"
"ABR"
"SCC"
"LWS"
"DEN"
"CIU"
"HOU"
"LCK"
"BOI"
"ORF"
"LBB"
"CKB"
"PIT"
"DVL"
"TUS"
"ABI"
"ORD"
"BTV"
"MHT"
"LBF"
"MGM"
"PPG"
"DTW"
"GTR"
"PBI"
"TUL"
"MYR"
"PIE"
"FSM"
"BDL"
"DUT"
"MSN"
"STX"
"JFK"
"TPA"
"MMH"
"JAX"
"OME"
"FWA"
"BNA"
"SHD"
"JHM"
"VEL"
"TRI"
"EGE"
"YAK"
"PVD"
"FLG"
"RDM"
"SAT"
"HYA"
"DLH"
"SBY"
"GEG"
"ALW"
"DSM"
"ROC"
"HHH"
"SPI"
"WRG"
"PIH"
"BTR"
"ELP"
"BUF"
"IAD"
"COS"
"FLL"
"HYS"
"SCE"
"TYS"
"SMF"
"LAN"
"SJC"
"DCA"
"IFP"
"KTN"
"ATW"
"SHV"
"BFF"
"AEX"
"SFB"
"IAH"
"EAU"
"HLN"
"AZO"
"ITO"
"BRD"
"ASE"
"BHM"
"LBL"
"HPN"
"CMI"
"DRO"
"ROW"
"TLH"
"SAF"
"AVP"
"FAY"
"IPT"
"BOS"
"ISP"
"HVN"
"BRW"
"BGR"
"OWB"
"JAC"
"ABY"
"USA"
"SAV"
"SGF"
"GGG"
"OMA"
"DHN"
"TYR"
"SUN"
"LRD"
"EUG"
"FCA"
"YUM"
"OKC"
"LGA"
"MKE"
"GCK"
"JAN"
"PDX"
"CID"
"SPS"
"INL"
"LYH"
"MLB"
"MLI"
"BLV"
"FLO"
"GFK"
"RDD"
"RKS"
"CAE"
"BIL"
"EAT"
"BQK"
"CWA"
"DAY"
"MOB"
"IDA"
"PBG"
"PIB"
"MKK"
"UIN"
"ADQ"
"SUX"
"SIT"
"SYR"
"MSP"
"PRC"
"BFL"
"PGV"
"LAS"
"COU"
"PHF"
"EAR"
"AZA"
"OGS"
"FSD"
"MTJ"
"BJI"
"SCK"
"MRY"
"BFM"
"DLG"
"ABQ"
"ILM"
"GCC"
"MDT"
"SJU"
"SEA"
"STC"
"OTZ"
"BPT"
"LAW"
"JNU"
"OGG"
"GRI"
"FNT"
"SBP"
"ACV"
"GSP"
