"total_gallons_fuel_domestic","unique_carrier","year","month"
149957685,"DL",2018,2
0,"EV",2018,5
177680219,"WN",2018,8
142963521,"UA",2019,9
19457496,"G4",2019,3
149747679,"UA",2018,10
120087215,"UA",2019,2
17536368,"F9",2019,2
206920890,"DL",2019,8
180873427,"DL",2018,5
0,"YV",2018,9
0,"9E",2018,11
0,"9E",2018,6
0,"CP",2018,11
172728275,"DL",2018,4
8304103,"OO",2018,11
60919004,"B6",2019,7
154622048,"UA",2018,6
0,"MQ",2019,1
0,"MQ",2018,9
180567823,"AA",2019,4
177441553,"WN",2019,5
0,"OH",2019,2
55881608,"AS",2019,1
202074912,"DL",2018,8
15757332,"HA",2018,5
8110361,"OO",2018,3
65575153,"AS",2018,7
7503491,"OO",2019,2
30177938,"NK",2018,11
200585393,"AA",2018,7
0,"G7",2018,6
19451155,"F9",2018,11
0,"OH",2018,5
23951656,"F9",2019,9
16143998,"HA",2019,5
19947115,"G4",2019,6
0,"YV",2019,8
186850065,"AA",2018,5
22451,"YX",2018,1
0,"9E",2018,5
15769266,"G4",2018,8
33039956,"NK",2018,6
8150037,"OO",2019,1
13532765,"HA",2019,2
15666335,"HA",2018,10
0,"QX",2018,9
25512256,"F9",2019,8
12704100,"G4",2019,1
0,"YV",2018,11
0,"QX",2018,7
0,"QX",2018,2
29081619,"NK",2018,1
163705922,"AA",2018,2
0,"MQ",2019,8
0,"MQ",2018,12
161469375,"WN",2019,9
0,"MQ",2019,5
0,"G7",2019,4
16502924,"G4",2018,4
0,"CP",2018,9
0,"MQ",2018,3
19844056,"F9",2019,3
0,"QX",2019,9
58371808,"B6",2018,12
174739867,"WN",2018,4
19325569,"G4",2018,3
0,"CP",2019,1
207363151,"DL",2019,7
171295959,"DL",2018,12
51031327,"B6",2018,2
153949739,"UA",2019,5
60372656,"B6",2018,8
145201747,"WN",2018,2
180070679,"DL",2019,4
60118439,"B6",2019,3
0,"OH",2018,6
15150640,"HA",2018,11
0,"YV",2019,3
15967302,"HA",2018,12
182164105,"WN",2018,6
0,"9E",2018,4
0,"9E",2019,6
31236251,"NK",2019,1
15978484,"G4",2018,5
0,"QX",2018,6
0,"9E",2018,3
21534807,"G4",2019,7
0,"CP",2019,7
15996680,"HA",2018,6
0,"EV",2018,11
30875049,"NK",2018,3
0,"OH",2019,6
0,"EV",2018,12
192398584,"AA",2018,6
0,"G7",2018,5
0,"OH",2019,9
173448291,"WN",2018,12
20060908,"F9",2018,12
0,"CP",2018,3
56957076,"AS",2018,11
0,"9E",2018,10
