"dest","total_arrivals","total_arriving_passengers","year","month"
"ABE",605,25176,2018,1
"ABE",532,24682,2018,2
"ABE",614,31500,2018,3
"ABE",638,31450,2018,4
"ABE",678,34462,2018,5
"ABE",691,34639,2018,6
"ABE",696,36380,2018,7
"ABE",704,37334,2018,8
"ABE",603,26639,2018,9
"ABE",684,32889,2018,10
"ABE",652,31771,2018,11
"ABE",637,29397,2018,12
"ABE",576,25276,2019,1
"ABE",570,27067,2019,2
"ABE",657,36962,2019,3
"ABE",748,40642,2019,4
"ABE",683,36304,2019,5
"ABE",785,43487,2019,6
"ABE",826,44604,2019,7
"ABE",833,44468,2019,8
"ABE",764,31780,2019,9
"ABE",805,36550,2019,10
"ABE",740,34210,2019,11
"ABE",718,33923,2019,12
"ABI",218,6039,2018,1
"ABI",190,5515,2018,2
"ABI",205,5583,2018,3
"ABI",231,6388,2018,4
"ABI",242,7275,2018,5
"ABI",227,6993,2018,6
"ABI",229,7292,2018,7
"ABI",242,6965,2018,8
"ABI",221,6466,2018,9
"ABI",248,7338,2018,10
"ABI",231,6725,2018,11
"ABI",239,6971,2018,12
"ABI",230,5689,2019,1
"ABI",209,5463,2019,2
"ABI",227,6536,2019,3
"ABI",225,6353,2019,4
"ABI",263,7370,2019,5
"ABI",268,8533,2019,6
"ABI",264,7563,2019,7
"ABI",283,8565,2019,8
"ABI",249,7007,2019,9
"ABI",273,8190,2019,10
"ABI",248,7232,2019,11
"ABI",263,7432,2019,12
"ABL",116,399,2018,1
"ABL",76,266,2018,2
"ABL",91,286,2018,3
"ABL",110,365,2018,4
"ABL",122,360,2018,5
"ABL",104,287,2018,6
"ABL",117,340,2018,7
"ABL",142,489,2018,8
"ABL",136,480,2018,9
"ABL",140,517,2018,10
"ABL",116,406,2018,11
"ABL",81,270,2018,12
"ABL",132,449,2019,1
"ABL",69,246,2019,2
"ABL",115,394,2019,3
"ABL",101,335,2019,4
"ABL",110,399,2019,5
"ABL",112,343,2019,6
"ABL",117,336,2019,7
"ABL",109,353,2019,8
"ABL",123,372,2019,9
"ABL",120,382,2019,10
"ABL",112,422,2019,11
"ABL",101,349,2019,12
"ABQ",2568,171887,2018,1
"ABQ",2231,169627,2018,2
"ABQ",2687,219011,2018,3
"ABQ",2711,217132,2018,4
"ABQ",2854,239968,2018,5
"ABQ",2894,259579,2018,6
"ABQ",2976,265884,2018,7
"ABQ",2985,253808,2018,8
"ABQ",2720,228174,2018,9
"ABQ",2776,254574,2018,10
"ABQ",2661,223762,2018,11
"ABQ",2703,216756,2018,12
"ABQ",2429,169883,2019,1
"ABQ",2157,164676,2019,2
"ABQ",2498,215678,2019,3
"ABQ",2412,205667,2019,4
"ABQ",2568,232247,2019,5
"ABQ",2676,255736,2019,6
"ABQ",2803,257284,2019,7
"ABQ",2876,245178,2019,8
"ABQ",2725,232160,2019,9
"ABQ",2936,259412,2019,10
"ABQ",2624,218400,2019,11
"ABQ",2675,232379,2019,12
"ABR",88,2445,2018,1
"ABR",82,2307,2018,2
"ABR",93,2458,2018,3
"ABR",85,2053,2018,4
"ABR",93,2378,2018,5
"ABR",89,2390,2018,6
"ABR",84,2193,2018,7
"ABR",95,2489,2018,8
"ABR",87,2152,2018,9
"ABR",102,2636,2018,10
"ABR",99,2839,2018,11
"ABR",88,2289,2018,12
"ABR",89,2343,2019,1
"ABR",79,2196,2019,2
"ABR",84,2370,2019,3
"ABR",83,2320,2019,4
"ABR",92,2328,2019,5
"ABR",88,2597,2019,6
"ABR",89,2479,2019,7
"ABR",93,2376,2019,8
"ABR",91,2303,2019,9
"ABR",101,2798,2019,10
"ABR",93,2589,2019,11
"ABR",92,2433,2019,12
"ABY",123,2655,2018,1
"ABY",114,2801,2018,2
"ABY",133,3322,2018,3
"ABY",137,3250,2018,4
"ABY",150,3408,2018,5
"ABY",145,3448,2018,6
"ABY",143,3433,2018,7
"ABY",152,3508,2018,8
"ABY",134,2983,2018,9
"ABY",145,3198,2018,10
"ABY",141,3373,2018,11
"ABY",135,3230,2018,12
"ABY",144,2910,2019,1
"ABY",132,2966,2019,2
"ABY",149,3480,2019,3
"ABY",144,3380,2019,4
"ABY",151,3469,2019,5
"ABY",146,3661,2019,6
"ABY",144,3444,2019,7
"ABY",144,3205,2019,8
"ABY",135,3094,2019,9
"ABY",153,3646,2019,10
"ABY",140,3368,2019,11
"ABY",145,3392,2019,12
"ACK",555,2296,2018,1
"ACK",551,2090,2018,2
"ACK",551,2195,2018,3
"ACK",744,3095,2018,4
"ACK",1108,7199,2018,5
"ACK",1516,19057,2018,6
"ACK",2127,30326,2018,7
"ACK",2268,32827,2018,8
"ACK",1635,14287,2018,9
"ACK",1084,6636,2018,10
"ACK",873,3950,2018,11
"ACK",701,2257,2018,12
"ACK",665,2357,2019,1
"ACK",559,1891,2019,2
"ACK",689,2562,2019,3
"ACK",788,2893,2019,4
"ACK",1226,7872,2019,5
"ACK",1751,21460,2019,6
"ACK",2350,33546,2019,7
"ACK",2379,36657,2019,8
"ACK",1784,13871,2019,9
"ACK",1103,5618,2019,10
"ACK",828,3286,2019,11
"ACK",713,2628,2019,12
"ACT",114,3695,2018,1
"ACT",113,3669,2018,2
"ACT",122,4320,2018,3
"ACT",132,4361,2018,4
"ACT",141,5004,2018,5
"ACT",148,5006,2018,6
"ACT",140,4733,2018,7
"ACT",151,5098,2018,8
"ACT",139,4761,2018,9
"ACT",144,5400,2018,10
"ACT",136,5009,2018,11
"ACT",125,3805,2018,12
"ACT",119,3858,2019,1
"ACT",107,3735,2019,2
"ACT",123,4298,2019,3
"ACT",159,5422,2019,4
"ACT",177,5649,2019,5
"ACT",171,5374,2019,6
"ACT",176,5721,2019,7
"ACT",175,6073,2019,8
"ACT",147,5070,2019,9
"ACT",156,6059,2019,10
"ACT",155,5660,2019,11
"ACT",142,4653,2019,12
"ACV",100,4665,2018,1
"ACV",92,3703,2018,2
"ACV",155,3674,2018,3
"ACV",146,4425,2018,4
"ACV",157,4714,2018,5
"ACV",207,6110,2018,6
"ACV",201,7343,2018,7
"ACV",226,7985,2018,8
"ACV",181,6135,2018,9
"ACV",206,6587,2018,10
"ACV",211,6664,2018,11
"ACV",213,6038,2018,12
"ACV",185,4909,2019,1
"ACV",170,4511,2019,2
"ACV",186,5278,2019,3
"ACV",183,6132,2019,4
"ACV",188,6696,2019,5
"ACV",221,7287,2019,6
"ACV",226,7789,2019,7
"ACV",283,9574,2019,8
"ACV",229,7381,2019,9
"ACV",257,8058,2019,10
"ACV",230,7006,2019,11
"ACV",266,8472,2019,12
"ACY",313,45388,2018,1
"ACY",300,47692,2018,2
"ACY",329,57026,2018,3
"ACY",295,50709,2018,4
"ACY",295,47797,2018,5
"ACY",285,40554,2018,6
"ACY",290,46563,2018,7
"ACY",269,45543,2018,8
"ACY",244,37081,2018,9
"ACY",246,39840,2018,10
"ACY",321,49961,2018,11
"ACY",304,47435,2018,12
"ACY",302,47199,2019,1
"ACY",275,46040,2019,2
"ACY",311,58197,2019,3
"ACY",295,52090,2019,4
"ACY",252,44437,2019,5
"ACY",232,37232,2019,6
"ACY",226,39934,2019,7
"ACY",222,39293,2019,8
"ACY",220,32190,2019,9
"ACY",225,36374,2019,10
"ACY",307,44465,2019,11
"ACY",317,50145,2019,12
"ADK",10,249,2018,1
"ADK",11,191,2018,2
"ADK",15,194,2018,3
"ADK",11,191,2018,4
"ADK",11,191,2018,5
"ADK",14,265,2018,6
"ADK",14,342,2018,7
"ADK",15,376,2018,8
"ADK",14,227,2018,9
"ADK",10,251,2018,10
"ADK",10,212,2018,11
"ADK",11,237,2018,12
"ADK",12,338,2019,1
"ADK",10,142,2019,2
"ADK",12,159,2019,3
"ADK",10,238,2019,4
"ADK",11,217,2019,5
"ADK",23,278,2019,6
"ADK",20,417,2019,7
"ADK",12,309,2019,8
"ADK",11,248,2019,9
"ADK",11,237,2019,10
"ADK",10,243,2019,11
"ADK",9,201,2019,12
"ADM",1,3,2018,6
"ADM",1,3,2018,7
"ADM",1,0,2019,12
"ADQ",466,5192,2018,1
"ADQ",415,4152,2018,2
"ADQ",570,6129,2018,3
"ADQ",322,5374,2018,4
"ADQ",657,7948,2018,5
"ADQ",732,7984,2018,6
"ADQ",642,9139,2018,7
"ADQ",839,9817,2018,8
"ADQ",740,7403,2018,9
"ADQ",672,6613,2018,10
"ADQ",588,6117,2018,11
"ADQ",561,5388,2018,12
"ADQ",489,5208,2019,1
"ADQ",492,4183,2019,2
"ADQ",552,6092,2019,3
"ADQ",555,6099,2019,4
"ADQ",706,8438,2019,5
"ADQ",800,8453,2019,6
"ADQ",797,9873,2019,7
"ADQ",295,9501,2019,8
"ADQ",754,8077,2019,9
"ADQ",689,6793,2019,10
"ADQ",554,6015,2019,11
"ADQ",526,5875,2019,12
"ADS",8,0,2018,1
"ADS",10,4,2018,2
"ADS",6,5,2018,3
"ADS",4,0,2018,4
"ADS",7,2,2018,5
"ADS",3,0,2018,6
"ADS",4,2,2018,7
"ADS",8,2,2018,8
"ADS",5,0,2018,10
"ADS",4,13,2018,11
"ADS",2,0,2018,12
"ADS",6,2,2019,1
"ADS",7,4,2019,2
"ADS",7,6,2019,3
"ADS",3,0,2019,4
"ADS",6,11,2019,5
"ADS",1,12,2019,6
"ADS",3,7,2019,7
"ADS",4,2,2019,8
"ADS",2,2,2019,10
"ADS",3,1,2019,11
"ADS",2,0,2019,12
"ADT",1,3,2018,8
"ADW",1,0,2018,1
"ADW",1,19,2018,8
"ADW",1,0,2019,2
"ADW",1,41,2019,8
"ADW",1,0,2019,9
"ADW",3,193,2019,10
"AET",60,176,2018,1
"AET",49,157,2018,2
"AET",57,245,2018,3
"AET",61,225,2018,4
"AET",57,258,2018,5
"AET",61,283,2018,6
"AET",44,177,2018,7
"AET",65,302,2018,8
"AET",51,217,2018,9
"AET",46,182,2018,10
"AET",51,197,2018,11
"AET",61,230,2018,12
"AET",58,183,2019,1
"AET",53,217,2019,2
"AET",43,151,2019,3
"AET",63,253,2019,4
"AET",61,247,2019,5
"AET",61,262,2019,6
"AET",79,350,2019,7
"AET",85,347,2019,8
"AET",57,240,2019,9
"AET",53,215,2019,10
"AET",47,178,2019,11
"AET",52,231,2019,12
"AEX",297,8864,2018,1
"AEX",298,8590,2018,2
"AEX",339,10365,2018,3
"AEX",329,10686,2018,4
"AEX",356,10593,2018,5
"AEX",327,10618,2018,6
"AEX",324,10875,2018,7
"AEX",325,9511,2018,8
"AEX",300,9057,2018,9
"AEX",315,10517,2018,10
"AEX",323,9851,2018,11
"AEX",292,9713,2018,12
"AEX",283,8900,2019,1
"AEX",262,8295,2019,2
"AEX",309,10517,2019,3
"AEX",312,10893,2019,4
"AEX",301,10702,2019,5
"AEX",275,9807,2019,6
"AEX",258,9980,2019,7
"AEX",266,9530,2019,8
"AEX",278,9320,2019,9
"AEX",312,12110,2019,10
"AEX",319,10442,2019,11
"AEX",323,10995,2019,12
"AFW",420,146,2018,1
"AFW",351,0,2018,2
"AFW",473,0,2018,3
"AFW",427,165,2018,4
"AFW",477,0,2018,5
"AFW",465,245,2018,6
"AFW",446,80,2018,7
"AFW",517,0,2018,8
"AFW",418,339,2018,9
"AFW",423,302,2018,10
"AFW",495,622,2018,11
"AFW",488,509,2018,12
"AFW",445,0,2019,1
"AFW",427,30,2019,2
"AFW",451,249,2019,3
"AFW",448,353,2019,4
"AFW",463,3,2019,5
"AFW",416,833,2019,6
"AFW",416,0,2019,7
"AFW",434,0,2019,8
"AFW",377,448,2019,9
"AFW",523,326,2019,10
"AFW",499,324,2019,11
"AFW",661,53,2019,12
"AGC",1,1,2018,1
"AGC",2,11,2018,2
"AGC",1,0,2018,3
"AGC",2,7,2018,4
"AGC",1,4,2018,5
"AGC",2,0,2018,6
"AGC",1,2,2018,7
"AGC",2,8,2018,9
"AGC",2,5,2018,10
"AGC",1,2,2018,11
"AGC",1,1,2019,3
"AGC",2,4,2019,4
"AGC",3,21,2019,5
"AGC",3,7,2019,10
"AGC",3,10,2019,12
"AGN",46,112,2018,1
"AGN",39,97,2018,2
"AGN",95,160,2018,3
"AGN",81,192,2018,4
"AGN",101,254,2018,5
"AGN",97,244,2018,6
"AGN",119,297,2018,7
"AGN",106,265,2018,8
"AGN",73,167,2018,9
"AGN",70,205,2018,10
"AGN",61,193,2018,11
"AGN",52,160,2018,12
"AGN",42,85,2019,1
"AGN",54,117,2019,2
"AGN",97,166,2019,3
"AGN",93,179,2019,4
"AGN",104,223,2019,5
"AGN",98,255,2019,6
"AGN",114,316,2019,7
"AGN",113,286,2019,8
"AGN",89,223,2019,9
"AGN",66,152,2019,10
"AGN",69,221,2019,11
"AGN",65,188,2019,12
"AGS",403,19466,2018,1
"AGS",387,19854,2018,2
"AGS",457,25088,2018,3
"AGS",486,31308,2018,4
"AGS",450,26717,2018,5
"AGS",399,23810,2018,6
"AGS",403,24633,2018,7
"AGS",424,24852,2018,8
"AGS",390,23884,2018,9
"AGS",408,27102,2018,10
"AGS",391,25910,2018,11
"AGS",369,22468,2018,12
"AGS",393,21100,2019,1
"AGS",355,20552,2019,2
"AGS",467,27599,2019,3
"AGS",546,36314,2019,4
"AGS",475,28799,2019,5
"AGS",465,27203,2019,6
"AGS",469,26353,2019,7
"AGS",478,26832,2019,8
"AGS",429,26981,2019,9
"AGS",440,29018,2019,10
"AGS",427,27927,2019,11
"AGS",444,26599,2019,12
"AHN",2,78,2018,2
"AHN",2,58,2018,3
"AHN",7,26,2018,5
"AHN",1,0,2018,6
"AHN",7,192,2018,9
"AHN",11,350,2018,10
"AHN",4,160,2018,11
"AHN",2,79,2019,2
"AHN",1,0,2019,4
"AHN",2,14,2019,7
"AHN",4,162,2019,8
"AHN",5,156,2019,9
"AHN",4,159,2019,10
"AHN",13,298,2019,11
"AHN",3,35,2019,12
"AIA",104,500,2018,1
"AIA",85,387,2018,2
"AIA",96,487,2018,3
"AIA",93,411,2018,4
"AIA",102,551,2018,5
"AIA",101,501,2018,6
"AIA",85,395,2018,7
"AIA",81,388,2018,8
"AIA",74,328,2018,9
"AIA",81,363,2018,10
"AIA",76,347,2018,11
"AIA",77,366,2018,12
"AIA",78,287,2019,1
"AIA",69,284,2019,2
"AIA",66,253,2019,3
"AIA",74,320,2019,4
"AIA",41,189,2019,5
"AIA",50,174,2019,6
"AIA",55,240,2019,7
"AIA",53,219,2019,8
"AIA",51,201,2019,9
"AIA",54,189,2019,10
"AIA",48,211,2019,11
"AIA",53,292,2019,12
"AIK",1,8,2018,2
"AIK",2,5,2018,4
"AIK",1,3,2019,3
"AIK",2,2,2019,4
"AIK",1,0,2019,11
"AIN",105,442,2018,1
"AIN",68,217,2018,2
"AIN",104,414,2018,3
"AIN",109,289,2018,4
"AIN",114,372,2018,5
"AIN",124,422,2018,6
"AIN",122,371,2018,7
"AIN",117,403,2018,8
"AIN",103,320,2018,9
"AIN",125,481,2018,10
"AIN",110,327,2018,11
"AIN",115,359,2018,12
"AIN",116,365,2019,1
"AIN",113,316,2019,2
"AIN",111,396,2019,3
"AIN",109,319,2019,4
"AIN",94,332,2019,5
"AIN",140,452,2019,6
"AIN",125,365,2019,7
"AIN",143,606,2019,8
"AIN",119,446,2019,9
"AIN",105,319,2019,10
"AIN",141,425,2019,11
"AIN",109,317,2019,12
"AIO",1,0,2019,3
"AIZ",1,3,2019,8
"AKB",9,9,2018,1
"AKB",6,14,2018,2
"AKB",11,26,2018,3
"AKB",11,26,2018,4
"AKB",10,27,2018,5
"AKB",6,15,2018,6
"AKB",8,24,2018,7
"AKB",13,43,2018,8
"AKB",13,30,2018,9
"AKB",13,28,2018,10
"AKB",10,21,2018,11
"AKB",9,20,2018,12
"AKB",8,9,2019,1
"AKB",6,11,2019,2
"AKB",11,18,2019,3
"AKB",10,17,2019,4
"AKB",16,36,2019,5
"AKB",11,23,2019,6
"AKB",14,33,2019,7
"AKB",8,33,2019,8
"AKB",14,35,2019,9
"AKB",11,27,2019,10
"AKB",9,21,2019,11
"AKB",12,25,2019,12
"AKI",141,264,2018,1
"AKI",84,162,2018,2
"AKI",100,157,2018,3
"AKI",157,360,2018,4
"AKI",142,328,2018,5
"AKI",117,247,2018,6
"AKI",196,360,2018,7
"AKI",154,253,2018,8
"AKI",153,271,2018,9
"AKI",204,426,2018,10
"AKI",76,169,2018,11
"AKI",150,327,2018,12
"AKI",92,127,2019,1
"AKI",85,230,2019,2
"AKI",133,228,2019,3
"AKI",241,535,2019,4
"AKI",144,278,2019,5
"AKI",72,147,2019,6
"AKI",125,198,2019,7
"AKI",128,199,2019,8
"AKI",150,267,2019,9
"AKI",159,374,2019,10
"AKI",155,340,2019,11
"AKI",121,298,2019,12
"AKK",25,65,2018,1
"AKK",23,46,2018,2
"AKK",33,84,2018,3
"AKK",8,16,2018,4
"AKK",42,107,2018,5
"AKK",59,166,2018,6
"AKK",32,97,2018,7
"AKK",55,105,2018,8
"AKK",63,76,2018,9
"AKK",28,41,2018,10
"AKK",28,49,2018,11
"AKK",22,38,2018,12
"AKK",23,46,2019,1
"AKK",22,40,2019,2
"AKK",32,75,2019,3
"AKK",35,75,2019,4
"AKK",43,85,2019,5
"AKK",60,185,2019,6
"AKK",73,186,2019,7
"AKK",68,101,2019,9
"AKK",54,100,2019,10
"AKK",31,47,2019,11
"AKK",22,55,2019,12
"AKN",268,1827,2018,1
"AKN",231,1010,2018,2
"AKN",307,1467,2018,3
"AKN",344,2544,2018,4
"AKN",520,3389,2018,5
"AKN",951,12166,2018,6
"AKN",1581,10666,2018,7
"AKN",769,5303,2018,8
"AKN",553,4268,2018,9
"AKN",371,1986,2018,10
"AKN",273,1540,2018,11
"AKN",263,1684,2018,12
"AKN",235,1664,2019,1
"AKN",212,1601,2019,2
"AKN",259,1505,2019,3
"AKN",235,2686,2019,4
"AKN",430,3207,2019,5
"AKN",898,11752,2019,6
"AKN",1607,10924,2019,7
"AKN",783,5513,2019,8
"AKN",518,3938,2019,9
"AKN",297,1998,2019,10
"AKN",274,2323,2019,11
"AKN",283,2710,2019,12
"AKP",92,277,2018,1
"AKP",91,280,2018,2
"AKP",99,381,2018,3
"AKP",101,286,2018,4
"AKP",100,295,2018,5
"AKP",96,361,2018,6
"AKP",92,366,2018,7
"AKP",111,379,2018,8
"AKP",80,238,2018,9
"AKP",86,310,2018,10
"AKP",75,239,2018,11
"AKP",84,335,2018,12
"AKP",81,317,2019,1
"AKP",84,380,2019,2
"AKP",83,210,2019,3
"AKP",79,344,2019,4
"AKP",85,325,2019,5
"AKP",87,394,2019,6
"AKP",97,346,2019,7
"AKP",92,397,2019,8
"AKP",75,243,2019,9
"AKP",85,344,2019,10
"AKP",72,275,2019,11
"AKP",85,326,2019,12
"ALB",1669,96192,2018,1
"ALB",1539,96440,2018,2
"ALB",1818,124567,2018,3
"ALB",1846,127253,2018,4
"ALB",1939,130546,2018,5
"ALB",1764,128034,2018,6
"ALB",1677,134824,2018,7
"ALB",1711,135210,2018,8
"ALB",1596,110263,2018,9
"ALB",1771,126106,2018,10
"ALB",1686,115834,2018,11
"ALB",1689,114623,2018,12
"ALB",1513,98521,2019,1
"ALB",1457,100284,2019,2
"ALB",1883,133912,2019,3
"ALB",1817,135793,2019,4
"ALB",1675,136383,2019,5
"ALB",1613,134056,2019,6
"ALB",1629,143081,2019,7
"ALB",1644,142062,2019,8
"ALB",1468,116468,2019,9
"ALB",1595,129432,2019,10
"ALB",1541,117356,2019,11
"ALB",1490,114325,2019,12
"ALN",1,0,2018,8
"ALO",58,1619,2018,1
"ALO",50,1527,2018,2
"ALO",58,1700,2018,3
"ALO",56,1706,2018,4
"ALO",58,1883,2018,5
"ALO",49,1802,2018,6
"ALO",55,2029,2018,7
"ALO",57,2177,2018,8
"ALO",59,2434,2018,9
"ALO",62,2425,2018,10
"ALO",57,2289,2018,11
"ALO",60,2011,2018,12
"ALO",47,1454,2019,1
"ALO",41,1501,2019,2
"ALO",61,2111,2019,3
"ALO",58,1899,2019,4
"ALO",63,2108,2019,5
"ALO",59,2032,2019,6
"ALO",59,1971,2019,7
"ALO",58,2114,2019,8
"ALO",58,2213,2019,9
"ALO",63,2316,2019,10
"ALO",56,1822,2019,11
"ALO",62,1802,2019,12
"ALS",103,502,2018,1
"ALS",83,395,2018,2
"ALS",99,501,2018,3
"ALS",102,458,2018,4
"ALS",104,535,2018,5
"ALS",102,693,2018,6
"ALS",110,743,2018,7
"ALS",108,686,2018,8
"ALS",102,605,2018,9
"ALS",104,588,2018,10
"ALS",95,479,2018,11
"ALS",93,496,2018,12
"ALS",102,499,2019,1
"ALS",90,434,2019,2
"ALS",97,533,2019,3
"ALS",101,471,2019,4
"ALS",106,627,2019,5
"ALS",101,636,2019,6
"ALS",132,776,2019,7
"ALS",128,774,2019,8
"ALS",119,654,2019,9
"ALS",131,1001,2019,10
"ALS",119,598,2019,11
"ALS",119,598,2019,12
"ALW",80,4234,2018,1
"ALW",76,3858,2018,2
"ALW",81,4619,2018,3
"ALW",77,4517,2018,4
"ALW",79,4554,2018,5
"ALW",75,4239,2018,6
"ALW",78,4146,2018,7
"ALW",70,4097,2018,8
"ALW",57,3148,2018,9
"ALW",61,3526,2018,10
"ALW",67,3550,2018,11
"ALW",82,3823,2018,12
"ALW",64,3307,2019,1
"ALW",43,2501,2019,2
"ALW",70,3841,2019,3
"ALW",76,4219,2019,4
"ALW",81,4548,2019,5
"ALW",77,4527,2019,6
"ALW",78,4110,2019,7
"ALW",79,4544,2019,8
"ALW",77,4199,2019,9
"ALW",79,4861,2019,10
"ALW",68,3888,2019,11
"ALW",71,4053,2019,12
"ALZ",4,1,2018,1
"ALZ",4,1,2018,2
"ALZ",5,5,2018,3
"ALZ",1,2,2018,4
"ALZ",11,30,2018,5
"ALZ",9,11,2018,6
"ALZ",7,9,2018,7
"ALZ",12,14,2018,8
"ALZ",7,6,2018,9
"ALZ",4,1,2018,10
"ALZ",5,2,2018,11
"ALZ",4,4,2018,12
"ALZ",4,0,2019,1
"ALZ",4,3,2019,2
"ALZ",4,3,2019,3
"ALZ",4,8,2019,4
"ALZ",9,17,2019,5
"ALZ",12,20,2019,6
"ALZ",13,18,2019,7
"ALZ",9,5,2019,9
"ALZ",5,0,2019,10
"ALZ",3,2,2019,11
"ALZ",4,0,2019,12
"AMA",446,25256,2018,1
"AMA",418,24554,2018,2
"AMA",468,28358,2018,3
"AMA",490,28649,2018,4
"AMA",536,32688,2018,5
"AMA",527,35167,2018,6
"AMA",536,35897,2018,7
"AMA",557,33520,2018,8
"AMA",528,30187,2018,9
"AMA",546,32402,2018,10
"AMA",522,32184,2018,11
"AMA",509,30415,2018,12
"AMA",495,26228,2019,1
"AMA",450,24962,2019,2
"AMA",485,29699,2019,3
"AMA",483,28153,2019,4
"AMA",499,31485,2019,5
"AMA",489,34568,2019,6
"AMA",511,35236,2019,7
"AMA",504,31935,2019,8
"AMA",483,30037,2019,9
"AMA",495,30916,2019,10
"AMA",482,29682,2019,11
"AMA",456,31748,2019,12
"AMW",1,5,2018,6
"ANB",6,0,2018,1
"ANB",2,0,2018,2
"ANB",3,34,2018,4
"ANB",3,0,2018,5
"ANB",1,0,2018,6
"ANB",2,0,2018,8
"ANB",1,0,2018,9
"ANB",4,35,2018,10
"ANB",4,0,2018,11
"ANB",1,137,2018,12
"ANB",1,0,2019,1
"ANB",3,135,2019,5
"ANB",2,0,2019,6
"ANB",8,0,2019,8
"ANB",12,151,2019,10
"ANB",5,0,2019,11
"ANC",4604,158019,2018,1
"ANC",4040,142099,2018,2
"ANC",4843,180532,2018,3
"ANC",4703,165697,2018,4
"ANC",5270,223818,2018,5
"ANC",6174,311398,2018,6
"ANC",6452,343310,2018,7
"ANC",6290,313878,2018,8
"ANC",5234,204275,2018,9
"ANC",5030,173844,2018,10
"ANC",4544,171761,2018,11
"ANC",4567,176250,2018,12
"ANC",4361,158537,2019,1
"ANC",3802,144713,2019,2
"ANC",4650,183810,2019,3
"ANC",4274,164670,2019,4
"ANC",5079,227557,2019,5
"ANC",5850,315220,2019,6
"ANC",6483,353887,2019,7
"ANC",6242,342052,2019,8
"ANC",5296,224459,2019,9
"ANC",4907,194739,2019,10
"ANC",4574,182302,2019,11
"ANC",4735,218229,2019,12
"AND",1,0,2018,1
"AND",3,79,2018,2
"AND",1,30,2018,10
"AND",1,28,2019,1
"AND",2,78,2019,2
"AND",1,29,2019,11
"ANI",425,1150,2018,1
"ANI",337,808,2018,2
"ANI",401,921,2018,3
"ANI",448,1108,2018,4
"ANI",504,1213,2018,5
"ANI",509,1220,2018,6
"ANI",456,1117,2018,7
"ANI",524,1318,2018,8
"ANI",472,1168,2018,9
"ANI",515,1305,2018,10
"ANI",445,1024,2018,11
"ANI",410,1206,2018,12
"ANI",467,1174,2019,1
"ANI",433,921,2019,2
"ANI",441,1244,2019,3
"ANI",536,1390,2019,4
"ANI",534,1339,2019,5
"ANI",496,1188,2019,6
"ANI",461,1163,2019,7
"ANI",549,1411,2019,8
"ANI",496,1125,2019,9
"ANI",524,1214,2019,10
"ANI",379,934,2019,11
"ANI",434,1084,2019,12
"ANP",1,6,2018,5
"ANP",1,4,2019,6
"ANV",43,99,2018,1
"ANV",31,66,2018,2
"ANV",46,103,2018,3
"ANV",40,84,2018,4
"ANV",63,131,2018,5
"ANV",64,152,2018,6
"ANV",67,163,2018,7
"ANV",67,212,2018,8
"ANV",64,145,2018,9
"ANV",60,133,2018,10
"ANV",37,80,2018,11
"ANV",41,83,2018,12
"ANV",40,104,2019,1
"ANV",41,93,2019,2
"ANV",52,125,2019,3
"ANV",55,88,2019,4
"ANV",67,152,2019,5
"ANV",60,122,2019,6
"ANV",60,176,2019,7
"ANV",64,240,2019,8
"ANV",67,128,2019,9
"ANV",70,163,2019,10
"ANV",32,83,2019,11
"ANV",48,92,2019,12
"AOH",1,0,2018,10
"AOH",1,0,2019,3
"AOH",1,0,2019,4
"AOH",4,0,2019,8
"AOO",99,191,2018,1
"AOO",90,162,2018,2
"AOO",97,217,2018,3
"AOO",103,243,2018,4
"AOO",110,271,2018,5
"AOO",111,294,2018,6
"AOO",115,396,2018,7
"AOO",116,490,2018,8
"AOO",107,378,2018,9
"AOO",111,391,2018,10
"AOO",103,384,2018,11
"AOO",112,353,2018,12
"AOO",104,215,2019,1
"AOO",83,147,2019,2
"AOO",111,225,2019,3
"AOO",110,221,2019,4
"AOO",115,286,2019,5
"AOO",110,281,2019,6
"AOO",117,373,2019,7
"AOO",115,420,2019,8
"AOO",111,284,2019,9
"AOO",115,357,2019,10
"AOO",108,314,2019,11
"AOO",106,297,2019,12
"APA",3,10,2018,1
"APA",3,15,2018,2
"APA",3,14,2018,3
"APA",2,7,2018,4
"APA",2,8,2018,5
"APA",3,16,2018,7
"APA",5,31,2018,9
"APA",2,3,2018,10
"APA",5,7,2018,11
"APA",2,3,2018,12
"APA",3,1,2019,1
"APA",2,3,2019,2
"APA",4,13,2019,3
"APA",2,9,2019,4
"APA",5,19,2019,5
"APA",8,37,2019,6
"APA",1,0,2019,7
"APA",2,20,2019,8
"APA",2,1,2019,9
"APA",58,7,2019,10
"APA",1,0,2019,11
"APA",4,14,2019,12
"APC",4,7,2018,1
"APC",7,20,2018,2
"APC",4,15,2018,3
"APC",15,56,2018,5
"APC",4,13,2018,6
"APC",10,36,2018,7
"APC",199,38,2018,8
"APC",61,23,2018,9
"APC",59,9,2018,10
"APC",58,12,2018,11
"APC",1,0,2018,12
"APC",3,13,2019,1
"APC",88,27,2019,2
"APC",4,26,2019,3
"APC",4,14,2019,4
"APC",174,31,2019,5
"APC",87,9,2019,6
"APC",2,20,2019,7
"APC",61,25,2019,8
"APC",7,12,2019,9
"APC",3,8,2019,10
"APC",2,16,2019,11
"APC",7,32,2019,12
"APF",7,8,2018,1
"APF",15,32,2018,2
