"origin","total_departures","total_departing_passengers","year","month"
"FLG",139,4617,2018,1
"FLG",94,3769,2018,2
"FLG",139,5367,2018,3
"FLG",154,6466,2018,4
"FLG",167,6760,2018,5
"FLG",149,6226,2018,6
"FLG",169,6998,2018,7
"FLG",152,6498,2018,8
"FLG",129,5438,2018,9
"FLG",115,6079,2018,10
"FLG",127,5173,2018,11
"FLG",125,4943,2018,12
"FLG",153,5004,2019,1
"FLG",124,4270,2019,2
"FLG",170,6792,2019,3
"FLG",272,11198,2019,4
"FLG",294,11796,2019,5
"FLG",285,11632,2019,6
"FLG",293,10967,2019,7
"FLG",292,11033,2019,8
"FLG",279,12389,2019,9
"FLG",296,13447,2019,10
"FLG",267,11375,2019,11
"FLG",268,10112,2019,12
"FLL",8907,1160383,2018,1
"FLL",8397,1070154,2018,2
"FLL",9667,1309685,2018,3
"FLL",8948,1221353,2018,4
"FLL",8696,1156380,2018,5
"FLL",8477,1126049,2018,6
"FLL",8634,1166837,2018,7
"FLL",8244,1112574,2018,8
"FLL",7553,908216,2018,9
"FLL",8120,1006120,2018,10
"FLL",8503,1113287,2018,11
"FLL",9168,1168243,2018,12
"FLL",9150,1219527,2019,1
"FLL",8618,1108555,2019,2
"FLL",10016,1383555,2019,3
"FLL",9158,1257412,2019,4
"FLL",8728,1196994,2019,5
"FLL",8103,1120557,2019,6
"FLL",8149,1153563,2019,7
"FLL",7999,1093538,2019,8
"FLL",6959,828610,2019,9
"FLL",8066,1017599,2019,10
"FLL",9006,1151961,2019,11
"FLL",9816,1264324,2019,12
"FLO",78,2888,2018,1
"FLO",94,3219,2018,2
"FLO",116,4143,2018,3
"FLO",117,4376,2018,4
"FLO",142,4521,2018,5
"FLO",107,4080,2018,6
"FLO",110,4157,2018,7
"FLO",102,3521,2018,8
"FLO",91,3166,2018,9
"FLO",112,3639,2018,10
"FLO",105,3515,2018,11
"FLO",94,3263,2018,12
"FLO",88,3146,2019,1
"FLO",73,2664,2019,2
"FLO",94,3395,2019,3
"FLO",87,3537,2019,4
"FLO",113,4206,2019,5
"FLO",109,3863,2019,6
"FLO",119,4141,2019,7
"FLO",111,3898,2019,8
"FLO",103,3470,2019,9
"FLO",114,3971,2019,10
"FLO",113,3939,2019,11
"FLO",103,3776,2019,12
"FLT",1,2,2019,6
"FLT",2,3,2019,7
"FLT",6,21,2019,9
"FLX",1,0,2019,2
"FME",1,6,2018,3
"FMN",79,0,2018,1
"FMN",63,0,2018,2
"FMN",102,0,2018,3
"FMN",88,0,2018,4
"FMN",99,10,2018,5
"FMN",96,0,2018,6
"FMN",90,0,2018,7
"FMN",100,0,2018,8
"FMN",87,6,2018,9
"FMN",47,0,2018,10
"FMN",90,0,2018,11
"FMN",58,0,2018,12
"FMN",96,0,2019,1
"FMN",84,3,2019,2
"FMN",98,0,2019,3
"FMN",93,0,2019,4
"FMN",94,0,2019,5
"FMN",92,0,2019,6
"FMN",94,0,2019,7
"FMN",100,0,2019,8
"FMN",86,0,2019,9
"FMN",100,0,2019,10
"FMN",90,0,2019,11
"FMN",58,0,2019,12
"FMY",1,0,2018,11
"FMY",2,2,2019,3
"FMY",1,5,2019,9
"FMY",3,1,2019,11
"FNL",1,155,2018,1
"FNL",1,160,2018,4
"FNL",1,160,2018,5
"FNL",1,158,2018,7
"FNL",5,601,2018,9
"FNL",4,567,2018,10
"FNL",6,705,2018,11
"FNL",1,164,2019,1
"FNL",1,181,2019,2
"FNL",1,175,2019,4
"FNL",1,118,2019,6
"FNL",1,122,2019,8
"FNL",5,759,2019,9
"FNL",3,433,2019,10
"FNL",7,712,2019,11
"FNR",5,0,2018,1
"FNR",3,0,2018,2
"FNR",5,0,2018,3
"FNR",4,0,2018,4
"FNR",5,1,2018,5
"FNR",4,3,2018,6
"FNR",4,3,2018,7
"FNR",4,1,2018,8
"FNR",6,2,2018,9
"FNR",1,0,2019,9
"FNT",452,32359,2018,1
"FNT",423,33202,2018,2
"FNT",521,37826,2018,3
"FNT",476,32457,2018,4
"FNT",544,33212,2018,5
"FNT",480,27733,2018,6
"FNT",477,28435,2018,7
"FNT",476,27638,2018,8
"FNT",460,24186,2018,9
"FNT",485,29520,2018,10
"FNT",457,29175,2018,11
"FNT",451,27280,2018,12
"FNT",357,25769,2019,1
"FNT",331,25576,2019,2
"FNT",406,29834,2019,3
"FNT",406,26212,2019,4
"FNT",401,23730,2019,5
"FNT",402,22320,2019,6
"FNT",417,25507,2019,7
"FNT",407,22931,2019,8
"FNT",431,22373,2019,9
"FNT",453,24108,2019,10
"FNT",453,25082,2019,11
"FNT",510,29785,2019,12
"FOD",129,611,2018,1
"FOD",106,578,2018,2
"FOD",125,688,2018,3
"FOD",114,668,2018,4
"FOD",129,861,2018,5
"FOD",123,687,2018,6
"FOD",128,699,2018,7
"FOD",129,691,2018,8
"FOD",121,801,2018,9
"FOD",154,702,2018,10
"FOD",123,688,2018,11
"FOD",121,676,2018,12
"FOD",122,565,2019,1
"FOD",108,440,2019,2
"FOD",122,631,2019,3
"FOD",121,680,2019,4
"FOD",131,918,2019,5
"FOD",120,749,2019,6
"FOD",129,782,2019,7
"FOD",127,724,2019,8
"FOD",123,835,2019,9
"FOD",153,664,2019,10
"FOD",122,682,2019,11
"FOD",126,700,2019,12
"FOE",7,306,2018,1
"FOE",10,320,2018,2
"FOE",3,286,2018,3
"FOE",3,172,2018,4
"FOE",2,144,2018,5
"FOE",2,221,2018,6
"FOE",4,651,2018,10
"FOE",6,463,2018,11
"FOE",1,130,2018,12
"FOE",3,46,2019,1
"FOE",3,29,2019,2
"FOE",2,102,2019,3
"FOE",1,176,2019,4
"FOE",1,48,2019,5
"FOE",2,316,2019,8
"FOE",5,497,2019,9
"FOE",6,597,2019,10
"FOE",6,361,2019,11
"FOE",5,265,2019,12
"FOK",3,6,2018,1
"FOK",3,7,2018,3
"FOK",3,3,2018,5
"FOK",11,17,2018,6
"FOK",15,50,2018,7
"FOK",27,66,2018,8
"FOK",9,28,2018,9
"FOK",8,32,2018,10
"FOK",1,0,2018,11
"FOK",1,4,2019,1
"FOK",1,2,2019,3
"FOK",1,10,2019,4
"FOK",9,18,2019,5
"FOK",5,13,2019,6
"FOK",11,40,2019,7
"FOK",29,41,2019,8
"FOK",5,12,2019,9
"FOK",5,14,2019,10
"FOK",6,15,2019,11
"FPR",1,2,2018,2
"FPR",1,0,2018,3
"FPR",1,9,2018,5
"FPR",3,21,2018,6
"FPR",5,29,2018,7
"FPR",5,28,2018,8
"FPR",1,8,2018,9
"FPR",1,2,2018,10
"FPR",4,1,2019,3
"FPR",1,0,2019,4
"FPR",1,4,2019,9
"FQL",1,2,2018,5
"FQW",2,0,2018,7
"FRD",157,414,2018,1
"FRD",127,469,2018,2
"FRD",160,536,2018,3
"FRD",167,681,2018,4
"FRD",244,902,2018,5
"FRD",322,1174,2018,6
"FRD",419,1884,2018,7
"FRD",431,2018,2018,8
"FRD",291,1252,2018,9
"FRD",180,737,2018,10
"FRD",145,538,2018,11
"FRD",132,452,2018,12
"FRD",143,508,2019,1
"FRD",103,354,2019,2
"FRD",154,533,2019,3
"FRD",167,616,2019,4
"FRD",260,1004,2019,5
"FRD",326,1276,2019,6
"FRD",386,1876,2019,7
"FRD",440,1962,2019,8
"FRD",318,1403,2019,9
"FRD",199,803,2019,10
"FRD",150,590,2019,11
"FRD",157,579,2019,12
"FRG",14,250,2018,1
"FRG",9,173,2018,2
"FRG",6,8,2018,3
"FRG",4,63,2018,4
"FRG",8,67,2018,5
"FRG",15,27,2018,6
"FRG",5,24,2018,7
"FRG",4,24,2018,8
"FRG",2,4,2018,9
"FRG",3,13,2018,10
"FRG",11,88,2018,11
"FRG",5,104,2018,12
"FRG",3,51,2019,1
"FRG",3,5,2019,2
"FRG",5,122,2019,3
"FRG",3,65,2019,4
"FRG",6,77,2019,5
"FRG",2,10,2019,6
"FRG",8,23,2019,7
"FRG",6,21,2019,8
"FRG",7,112,2019,9
"FRG",9,100,2019,10
"FRG",7,161,2019,11
"FRG",19,286,2019,12
"FRY",2,7,2018,7
"FRY",1,3,2018,9
"FRY",1,4,2019,6
"FRY",2,12,2019,7
"FSD",769,41681,2018,1
"FSD",716,43200,2018,2
"FSD",842,47569,2018,3
"FSD",750,40277,2018,4
"FSD",835,45504,2018,5
"FSD",826,45169,2018,6
"FSD",856,45612,2018,7
"FSD",879,41855,2018,8
"FSD",767,39173,2018,9
"FSD",839,47454,2018,10
"FSD",864,47918,2018,11
"FSD",861,46544,2018,12
"FSD",776,43899,2019,1
"FSD",719,45147,2019,2
"FSD",819,50893,2019,3
"FSD",780,42832,2019,4
"FSD",862,49533,2019,5
"FSD",939,51182,2019,6
"FSD",937,52000,2019,7
"FSD",933,46251,2019,8
"FSD",874,44100,2019,9
"FSD",947,51508,2019,10
"FSD",898,48929,2019,11
"FSD",919,54801,2019,12
"FSM",170,6029,2018,1
"FSM",150,5799,2018,2
"FSM",169,6589,2018,3
"FSM",169,6722,2018,4
"FSM",174,8124,2018,5
"FSM",171,8021,2018,6
"FSM",173,8186,2018,7
"FSM",178,7347,2018,8
"FSM",178,7418,2018,9
"FSM",177,7910,2018,10
"FSM",166,7549,2018,11
"FSM",173,7582,2018,12
"FSM",167,6217,2019,1
"FSM",156,5915,2019,2
"FSM",182,7217,2019,3
"FSM",167,7001,2019,4
"FSM",168,8205,2019,5
"FSM",169,8735,2019,6
"FSM",172,8706,2019,7
"FSM",169,7608,2019,8
"FSM",200,8089,2019,9
"FSM",205,8756,2019,10
"FSM",193,7905,2019,11
"FSM",194,8048,2019,12
"FST",1,6,2019,6
"FTG",2,0,2019,2
"FTG",2,0,2019,3
"FTW",3,206,2018,1
"FTW",8,119,2018,2
"FTW",4,176,2018,3
"FTW",1,0,2018,8
"FTW",3,164,2018,10
"FTW",6,449,2018,11
"FTW",7,561,2018,12
"FTW",1,45,2019,1
"FTW",1,2,2019,2
"FTW",2,63,2019,3
"FTW",2,38,2019,4
"FTW",2,0,2019,6
"FTW",2,0,2019,8
"FTW",3,167,2019,10
"FTW",5,169,2019,11
"FTW",3,87,2019,12
"FTY",2,5,2018,1
"FTY",1,0,2018,2
"FTY",1,1,2018,3
"FTY",1,22,2018,5
"FTY",2,1,2018,8
"FTY",3,3,2018,9
"FTY",2,15,2018,10
"FTY",3,17,2018,11
"FTY",1,0,2018,12
"FTY",5,26,2019,2
"FTY",2,12,2019,5
"FTY",1,2,2019,11
"FVG",1,1,2019,5
"FVO",2,0,2018,6
"FVQ",2,3,2018,6
"FVQ",4,6,2018,7
"FVQ",3,4,2018,8
"FVQ",1,8,2018,9
"FVQ",2,4,2018,10
"FVQ",2,4,2019,4
"FVQ",6,2,2019,5
"FVQ",15,17,2019,6
"FVQ",15,14,2019,7
"FVQ",4,5,2019,8
"FVQ",18,28,2019,9
"FVQ",8,15,2019,10
"FVQ",2,6,2019,11
"FWA",668,27892,2018,1
"FWA",620,28193,2018,2
"FWA",717,34843,2018,3
"FWA",683,28954,2018,4
"FWA",715,31251,2018,5
"FWA",736,34483,2018,6
"FWA",711,32608,2018,7
"FWA",725,29364,2018,8
"FWA",705,28494,2018,9
"FWA",774,34841,2018,10
"FWA",711,31387,2018,11
"FWA",727,31267,2018,12
"FWA",695,29105,2019,1
"FWA",633,28812,2019,2
"FWA",778,37396,2019,3
"FWA",729,30026,2019,4
"FWA",751,34622,2019,5
"FWA",749,37812,2019,6
"FWA",713,37272,2019,7
"FWA",730,31607,2019,8
"FWA",690,31075,2019,9
"FWA",774,37393,2019,10
"FWA",700,32974,2019,11
"FWA",711,36229,2019,12
"FWH",1,76,2018,2
"FWL",4,0,2018,7
"FWL",1,0,2018,8
"FWL",1,5,2018,9
"FWL",3,0,2019,7
"FWL",3,0,2019,8
"FWL",6,13,2019,9
"FWL",1,3,2019,10
"FXE",1,0,2018,1
"FXE",3,5,2018,2
"FXE",5,9,2018,3
"FXE",1,1,2018,4
"FXE",1,0,2018,5
"FXE",2,22,2018,8
"FXE",1,1,2018,9
"FXE",3,20,2018,12
"FXE",33,288,2019,3
"FXE",1,0,2019,5
"FXE",6,0,2019,8
"FXE",4,0,2019,10
"FXE",5,2,2019,11
"FXE",2,10,2019,12
"FYU",221,848,2018,1
"FYU",217,845,2018,2
"FYU",241,928,2018,3
"FYU",224,969,2018,4
"FYU",248,1020,2018,5
"FYU",206,949,2018,6
"FYU",163,804,2018,7
"FYU",245,1161,2018,8
"FYU",181,924,2018,9
"FYU",143,575,2018,10
"FYU",160,652,2018,11
"FYU",165,722,2018,12
"FYU",162,723,2019,1
"FYU",165,754,2019,2
"FYU",132,556,2019,3
"FYU",160,792,2019,4
"FYU",166,834,2019,5
"FYU",208,943,2019,6
"FYU",201,863,2019,7
"FYU",250,1080,2019,8
"FYU",173,860,2019,9
"FYU",157,772,2019,10
"FYU",140,633,2019,11
"FYU",147,696,2019,12
"FYV",1,41,2018,1
"FYV",1,38,2018,2
"FYV",6,81,2018,3
"FYV",1,0,2018,4
"FYV",1,0,2018,6
"FYV",1,8,2018,7
"FYV",2,8,2018,8
"FYV",2,42,2018,11
"FYV",2,4,2019,3
"FYV",3,42,2019,11
"FYV",2,46,2019,12
"GAI",1,1,2018,4
"GAI",1,5,2018,9
"GAI",1,2,2018,12
"GAI",1,2,2019,1
"GAI",1,2,2019,2
"GAI",1,1,2019,5
"GAI",1,8,2019,7
"GAI",1,3,2019,8
"GAI",1,3,2019,10
"GAI",1,7,2019,12
"GAL",249,885,2018,1
"GAL",226,880,2018,2
"GAL",285,1165,2018,3
"GAL",248,1067,2018,4
"GAL",287,1380,2018,5
"GAL",268,1044,2018,6
"GAL",252,984,2018,7
"GAL",316,1310,2018,8
"GAL",264,1030,2018,9
"GAL",278,1168,2018,10
"GAL",251,1064,2018,11
"GAL",273,1221,2018,12
"GAL",243,882,2019,1
"GAL",227,903,2019,2
"GAL",251,966,2019,3
"GAL",268,1102,2019,4
"GAL",275,1291,2019,5
"GAL",273,1088,2019,6
"GAL",299,998,2019,7
"GAL",286,1073,2019,8
"GAL",272,1320,2019,9
"GAL",256,1128,2019,10
"GAL",242,940,2019,11
"GAL",254,1166,2019,12
"GAM",110,432,2018,1
"GAM",54,240,2018,2
"GAM",84,351,2018,3
"GAM",105,429,2018,4
"GAM",121,488,2018,5
"GAM",109,435,2018,6
"GAM",109,436,2018,7
"GAM",147,468,2018,8
"GAM",139,567,2018,9
"GAM",150,618,2018,10
"GAM",106,434,2018,11
"GAM",85,230,2018,12
"GAM",105,441,2019,1
"GAM",46,184,2019,2
"GAM",89,311,2019,3
"GAM",113,437,2019,4
"GAM",108,408,2019,5
"GAM",117,423,2019,6
"GAM",91,346,2019,7
"GAM",126,413,2019,8
"GAM",121,454,2019,9
"GAM",127,520,2019,10
"GAM",90,290,2019,11
"GAM",85,290,2019,12
"GBD",1,7,2018,10
"GBH",5,94,2018,1
"GBH",9,69,2018,2
"GBH",20,104,2018,3
"GBH",3,46,2018,4
"GBH",5,68,2018,5
"GBH",4,45,2018,6
"GBH",4,56,2018,7
"GBH",11,66,2018,8
"GBH",4,67,2018,9
"GBH",14,87,2018,10
"GBH",6,44,2018,11
"GBH",5,59,2018,12
"GBH",5,69,2019,1
"GBH",5,68,2019,2
"GBH",5,65,2019,3
"GBH",8,68,2019,4
"GBH",9,91,2019,5
"GBH",7,66,2019,6
"GBH",3,27,2019,7
"GBH",6,40,2019,8
"GBH",4,61,2019,9
"GBH",10,30,2019,10
"GBH",2,32,2019,11
"GBH",4,67,2019,12
"GBR",2,2,2019,6
"GBR",1,2,2019,7
"GBR",1,1,2019,8
"GBR",2,3,2019,10
"GBR",1,5,2019,12
"GCC",80,1996,2018,1
"GCC",71,2017,2018,2
"GCC",78,2337,2018,3
"GCC",79,2143,2018,4
"GCC",78,2542,2018,5
"GCC",77,2571,2018,6
"GCC",69,2402,2018,7
"GCC",59,2347,2018,8
"GCC",60,2009,2018,9
"GCC",63,2396,2018,10
"GCC",59,2199,2018,11
"GCC",60,2240,2018,12
"GCC",58,1975,2019,1
"GCC",51,1801,2019,2
"GCC",58,2162,2019,3
"GCC",59,2112,2019,4
"GCC",60,2340,2019,5
"GCC",58,2523,2019,6
"GCC",62,2527,2019,7
"GCC",62,2714,2019,8
"GCC",60,2504,2019,9
"GCC",74,2841,2019,10
"GCC",75,2691,2019,11
"GCC",79,3290,2019,12
"GCK",84,2096,2018,1
"GCK",79,2045,2018,2
"GCK",89,2221,2018,3
"GCK",80,2036,2018,4
"GCK",90,2481,2018,5
"GCK",84,2086,2018,6
"GCK",84,2188,2018,7
"GCK",86,2078,2018,8
"GCK",80,2012,2018,9
"GCK",83,2152,2018,10
"GCK",78,1983,2018,11
"GCK",72,1830,2018,12
"GCK",77,2046,2019,1
"GCK",64,1765,2019,2
"GCK",81,2143,2019,3
"GCK",77,1899,2019,4
"GCK",76,2171,2019,5
"GCK",77,1949,2019,6
"GCK",83,2208,2019,7
"GCK",86,2271,2019,8
"GCK",79,2105,2019,9
"GCK",84,2097,2019,10
"GCK",78,2189,2019,11
"GCK",82,2363,2019,12
"GCN",385,5164,2018,1
"GCN",358,4602,2018,2
"GCN",424,5790,2018,3
"GCN",424,5790,2018,4
"GCN",711,9806,2018,5
"GCN",707,9518,2018,6
"GCN",677,9531,2018,7
"GCN",703,9289,2018,8
"GCN",757,9852,2018,9
"GCN",547,6927,2018,10
"GCN",412,5150,2018,11
"GCN",285,3335,2018,12
"GCN",293,3500,2019,1
"GCN",231,2675,2019,2
"GCN",289,3263,2019,3
"GCN",449,5428,2019,4
"GCN",473,5721,2019,5
"GCN",536,6182,2019,6
"GCN",542,6093,2019,7
"GCN",554,6862,2019,8
"GCN",573,6814,2019,9
"GCN",560,6668,2019,10
"GCN",251,2751,2019,11
"GCN",186,1904,2019,12
"GCY",1,1,2018,12
"GDC",6,0,2018,1
"GDC",1,0,2018,2
"GDC",2,0,2018,3
"GDC",2,0,2018,4
"GDC",9,0,2018,5
"GDC",16,0,2018,6
"GDC",8,0,2018,7
"GDC",3,0,2018,8
"GDC",1,0,2018,9
"GDC",5,0,2018,10
"GDC",3,0,2018,11
"GDC",2,0,2018,12
"GDC",2,0,2019,1
"GDC",3,0,2019,2
"GDC",1,0,2019,3
"GDC",4,0,2019,4
"GDC",2,0,2019,5
"GDC",1,0,2019,7
"GDC",5,0,2019,8
"GDC",3,0,2019,9
"GDC",3,0,2019,10
"GDC",2,0,2019,12
"GDV",57,195,2018,1
"GDV",55,213,2018,2
"GDV",60,232,2018,3
"GDV",58,197,2018,4
"GDV",61,215,2018,5
"GDV",60,224,2018,6
"GDV",62,270,2018,7
"GDV",60,269,2018,8
"GDV",61,200,2018,9
"GDV",63,213,2018,10
"GDV",60,249,2018,11
"GDV",59,257,2018,12
"GDV",61,192,2019,1
"GDV",47,173,2019,2
"GDV",61,228,2019,3
"GDV",60,200,2019,4
"GDV",61,202,2019,5
"GDV",59,227,2019,6
"GDV",59,234,2019,7
"GDV",62,221,2019,8
"GDV",60,205,2019,9
"GDV",60,205,2019,10
"GDV",54,220,2019,11
"GDV",58,261,2019,12
"GED",1,2,2019,4
"GED",1,4,2019,6
"GED",1,3,2019,8
"GED",1,4,2019,9
"GEG",2022,128589,2018,1
"GEG",1739,124480,2018,2
"GEG",2141,154782,2018,3
"GEG",2099,136881,2018,4
"GEG",2207,152944,2018,5
"GEG",2281,165196,2018,6
"GEG",2321,182954,2018,7
"GEG",2525,183884,2018,8
"GEG",2159,156087,2018,9
"GEG",2269,169075,2018,10
"GEG",2218,163818,2018,11
"GEG",2267,165943,2018,12
"GEG",2049,138087,2019,1
"GEG",1833,130295,2019,2
"GEG",2140,163361,2019,3
"GEG",2081,141954,2019,4
"GEG",2169,158748,2019,5
"GEG",2292,170426,2019,6
"GEG",2360,187923,2019,7
"GEG",2430,185368,2019,8
"GEG",2179,170338,2019,9
"GEG",2278,172459,2019,10
"GEG",2137,159830,2019,11
"GEG",2261,175006,2019,12
"GEK",1,0,2018,5
"GEK",1,0,2019,5
"GFK",165,9564,2018,1
"GFK",157,9557,2018,2
"GFK",173,10741,2018,3
"GFK",158,8284,2018,4
"GFK",186,9143,2018,5
"GFK",184,8867,2018,6
"GFK",187,9973,2018,7
"GFK",192,9471,2018,8
"GFK",167,8143,2018,9
"GFK",190,10903,2018,10
"GFK",195,10885,2018,11
"GFK",172,9777,2018,12
"GFK",162,9453,2019,1
"GFK",155,9984,2019,2
"GFK",185,12063,2019,3
"GFK",171,9646,2019,4
"GFK",164,8882,2019,5
"GFK",178,9212,2019,6
"GFK",185,10167,2019,7
"GFK",191,9748,2019,8
"GFK",167,8260,2019,9
"GFK",190,10370,2019,10
"GFK",187,10757,2019,11
"GFK",188,9872,2019,12
"GFL",1,7,2018,3
"GFL",5,19,2018,7
"GFL",1,3,2018,10
"GFL",1,1,2019,4
"GFL",2,6,2019,7
"GFL",1,1,2019,8
"GGE",1,2,2019,5
"GGE",1,0,2019,7
"GGE",1,2,2019,11
"GGE",1,4,2019,12
"GGG",57,1452,2018,1
"GGG",44,1278,2018,2
"GGG",57,1986,2018,3
"GGG",55,1599,2018,4
"GGG",60,1973,2018,5
"GGG",72,2385,2018,6
"GGG",80,2700,2018,7
"GGG",81,2574,2018,8
"GGG",65,2083,2018,9
"GGG",77,2572,2018,10
"GGG",76,2429,2018,11
"GGG",72,2319,2018,12
"GGG",59,1485,2019,1
"GGG",58,1615,2019,2
"GGG",82,2395,2019,3
"GGG",86,2695,2019,4
"GGG",85,2771,2019,5
"GGG",81,2604,2019,6
"GGG",87,2811,2019,7
"GGG",90,2710,2019,8
"GGG",84,2690,2019,9
"GGG",81,2779,2019,10
"GGG",70,2354,2019,11
"GGG",82,2330,2019,12
"GGW",56,289,2018,1
"GGW",55,296,2018,2
"GGW",59,327,2018,3
"GGW",61,313,2018,4
"GGW",62,348,2018,5
"GGW",60,374,2018,6
"GGW",62,396,2018,7
"GGW",66,357,2018,8
"GGW",57,314,2018,9
"GGW",63,370,2018,10
"GGW",64,363,2018,11
"GGW",61,337,2018,12
"GGW",61,311,2019,1
"GGW",43,210,2019,2
"GGW",61,295,2019,3
"GGW",60,341,2019,4
"GGW",61,332,2019,5
"GGW",61,382,2019,6
"GGW",72,384,2019,7
"GGW",85,384,2019,8
"GGW",80,361,2019,9
"GGW",84,329,2019,10
"GGW",78,317,2019,11
"GGW",82,357,2019,12
"GJT",416,15741,2018,1
"GJT",404,15362,2018,2
"GJT",417,17143,2018,3
"GJT",401,17931,2018,4
"GJT",442,21595,2018,5
"GJT",434,22344,2018,6
"GJT",460,23560,2018,7
"GJT",443,21890,2018,8
"GJT",395,19693,2018,9
"GJT",416,21023,2018,10
"GJT",405,20223,2018,11
"GJT",409,18330,2018,12
"GJT",405,17618,2019,1
"GJT",413,16505,2019,2
"GJT",487,20941,2019,3
"GJT",413,20575,2019,4
"GJT",472,24195,2019,5
"GJT",497,27136,2019,6
"GJT",452,24355,2019,7
"GJT",454,21423,2019,8
"GJT",448,21904,2019,9
"GJT",469,23634,2019,10
"GJT",452,20630,2019,11
"GJT",533,24462,2019,12
"GKN",25,1,2018,1
"GKN",35,12,2018,2
"GKN",37,11,2018,3
"GKN",27,6,2018,4
"GKN",45,52,2018,5
"GKN",29,61,2018,6
"GKN",33,114,2018,7
"GKN",34,111,2018,8
"GKN",24,40,2018,9
"GKN",34,10,2018,10
"GKN",26,5,2018,11
"GKN",30,4,2018,12
"GKN",28,9,2019,1
"GKN",25,2,2019,2
"GKN",28,16,2019,3
"GKN",30,9,2019,4
"GKN",29,28,2019,5
"GKN",26,75,2019,6
"GKN",32,93,2019,7
"GKN",28,103,2019,8
"GKN",27,37,2019,9
"GKN",11,6,2019,10
"GKN",26,5,2019,11
"GKN",29,4,2019,12
"GLH",74,397,2018,1
"GLH",65,389,2018,2
"GLH",75,483,2018,3
"GLH",73,447,2018,4
"GLH",78,484,2018,5
"GLH",74,468,2018,6
"GLH",75,499,2018,7
"GLH",79,491,2018,8
"GLH",70,549,2018,9
"GLH",75,454,2018,10
"GLH",72,545,2018,11
"GLH",69,420,2018,12
"GLH",73,380,2019,1
"GLH",52,262,2019,2
"GLH",77,428,2019,3
"GLH",74,319,2019,4
"GLH",77,426,2019,5
"GLH",69,398,2019,6
"GLH",77,456,2019,7
"GLH",83,459,2019,8
"GLH",72,368,2019,9
"GLH",76,434,2019,10
"GLH",81,427,2019,11
"GLH",81,427,2019,12
"GLR",1,0,2018,1
"GLR",1,0,2019,10
"GLV",107,327,2018,1
"GLV",56,189,2018,2
"GLV",92,263,2018,3
"GLV",147,500,2018,4
"GLV",134,338,2018,5
"GLV",116,310,2018,6
"GLV",135,481,2018,7
"GLV",151,438,2018,8
"GLV",119,396,2018,9
"GLV",122,454,2018,10
"GLV",102,365,2018,11
"GLV",76,217,2018,12
"GLV",87,319,2019,1
"GLV",52,136,2019,2
"GLV",73,222,2019,3
"GLV",100,363,2019,4
"GLV",138,483,2019,5
"GLV",94,274,2019,6
"GLV",116,382,2019,7
"GLV",99,340,2019,8
"GLV",79,254,2019,9
"GLV",110,385,2019,10
"GLV",89,342,2019,11
"GLV",112,351,2019,12
"GMT",1,0,2019,6
"GNU",49,67,2018,1
"GNU",24,44,2018,2
"GNU",64,95,2018,3
"GNU",69,86,2018,4
"GNU",75,79,2018,5
"GNU",79,97,2018,6
"GNU",100,105,2018,7
"GNU",111,285,2018,8
"GNU",93,147,2018,9
"GNU",75,141,2018,10
"GNU",36,58,2018,11
"GNU",62,101,2018,12
"GNU",69,71,2019,1
"GNU",38,52,2019,2
"GNU",98,133,2019,3
"GNU",111,186,2019,4
"GNU",94,135,2019,5
"GNU",59,64,2019,6
"GNU",96,145,2019,7
"GNU",117,236,2019,8
"GNU",87,115,2019,9
"GNU",83,100,2019,10
"GNU",49,63,2019,11
"GNU",69,103,2019,12
"GNV",358,17222,2018,1
"GNV",332,17001,2018,2
"GNV",384,19868,2018,3
"GNV",363,19514,2018,4
"GNV",401,21138,2018,5
"GNV",356,18420,2018,6
"GNV",364,18575,2018,7
"GNV",382,19377,2018,8
"GNV",357,19617,2018,9
"GNV",401,22104,2018,10
"GNV",391,22011,2018,11
"GNV",374,19563,2018,12
"GNV",361,19581,2019,1
"GNV",329,19651,2019,2
"GNV",436,24619,2019,3
"GNV",449,23092,2019,4
"GNV",461,24316,2019,5
"GNV",439,21494,2019,6
"GNV",443,21207,2019,7
"GNV",460,21646,2019,8
"GNV",451,22560,2019,9
"GNV",473,25804,2019,10
"GNV",452,24832,2019,11
"GNV",445,24442,2019,12
"GON",1,2,2018,1
"GON",1,5,2018,5
"GON",1,8,2018,7
"GON",2,9,2018,8
"GON",4,22,2018,9
"GON",1,3,2018,11
"GON",1,1,2018,12
"GON",1,2,2019,2
"GON",1,2,2019,5
"GON",1,5,2019,6
"GON",3,7,2019,7
"GON",3,3,2019,8
"GON",4,18,2019,10
"GPT",375,27010,2018,1
"GPT",352,28418,2018,2
"GPT",398,29992,2018,3
"GPT",411,29967,2018,4
"GPT",438,33270,2018,5
"GPT",448,31752,2018,6
"GPT",413,27497,2018,7
"GPT",460,31106,2018,8
"GPT",400,28383,2018,9
"GPT",417,32408,2018,10
"GPT",407,32470,2018,11
"GPT",384,28293,2018,12
"GPT",420,26651,2019,1
"GPT",355,25220,2019,2
"GPT",427,32328,2019,3
"GPT",440,31932,2019,4
"GPT",448,33914,2019,5
"GPT",409,30450,2019,6
"GPT",447,30939,2019,7
"GPT",469,30990,2019,8
"GPT",464,30155,2019,9
"GPT",505,34983,2019,10
"GPT",477,35085,2019,11
"GPT",479,33802,2019,12
"GRB",420,21460,2018,1
"GRB",382,21761,2018,2
"GRB",480,28091,2018,3
"GRB",472,25666,2018,4
"GRB",525,25855,2018,5
