"origin","total_departures","total_departing_passengers","year","month"
"ACT",124,4717,2019,3
"ACT",159,5608,2019,4
"ACT",175,5934,2019,5
"ACT",171,5850,2019,6
"ACT",175,6055,2019,7
"ACT",174,6041,2019,8
"ACT",147,5353,2019,9
"ACT",158,6625,2019,10
"ACT",154,5944,2019,11
"ACT",145,5293,2019,12
"ACV",96,4068,2018,1
"ACV",88,4001,2018,2
"ACV",154,3816,2018,3
"ACV",146,4529,2018,4
"ACV",166,4944,2018,5
"ACV",195,6231,2018,6
"ACV",195,7299,2018,7
"ACV",212,7806,2018,8
"ACV",173,6520,2018,9
"ACV",188,6796,2018,10
"ACV",188,6929,2018,11
"ACV",197,6649,2018,12
"ACV",167,4910,2019,1
"ACV",162,4589,2019,2
"ACV",173,5383,2019,3
"ACV",173,6257,2019,4
"ACV",187,6850,2019,5
"ACV",219,7621,2019,6
"ACV",222,7965,2019,7
"ACV",272,9363,2019,8
"ACV",225,7732,2019,9
"ACV",248,8245,2019,10
"ACV",220,7915,2019,11
"ACV",263,9310,2019,12
"ACY",312,44866,2018,1
"ACY",301,49531,2018,2
"ACY",330,60454,2018,3
"ACY",295,44681,2018,4
"ACY",291,44316,2018,5
"ACY",285,40410,2018,6
"ACY",292,47639,2018,7
"ACY",268,46640,2018,8
"ACY",242,36862,2018,9
"ACY",245,42626,2018,10
"ACY",321,48107,2018,11
"ACY",302,49555,2018,12
"ACY",302,46976,2019,1
"ACY",275,47548,2019,2
"ACY",312,55616,2019,3
"ACY",297,49949,2019,4
"ACY",253,41111,2019,5
"ACY",234,36544,2019,6
"ACY",225,40666,2019,7
"ACY",221,39523,2019,8
"ACY",220,33835,2019,9
"ACY",228,38710,2019,10
"ACY",305,43615,2019,11
"ACY",314,52985,2019,12
"ADK",10,159,2018,1
"ADK",11,147,2018,2
"ADK",14,254,2018,3
"ADK",11,234,2018,4
"ADK",11,161,2018,5
"ADK",14,208,2018,6
"ADK",14,374,2018,7
"ADK",15,373,2018,8
"ADK",14,250,2018,9
"ADK",10,268,2018,10
"ADK",10,268,2018,11
"ADK",11,205,2018,12
"ADK",11,170,2019,1
"ADK",10,116,2019,2
"ADK",12,288,2019,3
"ADK",10,306,2019,4
"ADK",11,177,2019,5
"ADK",21,380,2019,6
"ADK",20,399,2019,7
"ADK",12,289,2019,8
"ADK",11,325,2019,9
"ADK",11,206,2019,10
"ADK",10,275,2019,11
"ADK",9,219,2019,12
"ADM",1,0,2019,12
"ADQ",464,4578,2018,1
"ADQ",415,4082,2018,2
"ADQ",564,5813,2018,3
"ADQ",322,5636,2018,4
"ADQ",654,7374,2018,5
"ADQ",725,7613,2018,6
"ADQ",642,8713,2018,7
"ADQ",838,9973,2018,8
"ADQ",739,8490,2018,9
"ADQ",666,6675,2018,10
"ADQ",589,6964,2018,11
"ADQ",558,5588,2018,12
"ADQ",485,4310,2019,1
"ADQ",496,4465,2019,2
"ADQ",551,5676,2019,3
"ADQ",554,5957,2019,4
"ADQ",703,8096,2019,5
"ADQ",716,8053,2019,6
"ADQ",796,9374,2019,7
"ADQ",294,9847,2019,8
"ADQ",750,9246,2019,9
"ADQ",688,7083,2019,10
"ADQ",555,7489,2019,11
"ADQ",526,6079,2019,12
"ADS",12,4,2018,1
"ADS",11,2,2018,2
"ADS",5,5,2018,3
"ADS",5,1,2018,4
"ADS",6,2,2018,5
"ADS",3,0,2018,6
"ADS",4,2,2018,7
"ADS",6,0,2018,8
"ADS",1,2,2018,9
"ADS",4,0,2018,10
"ADS",7,50,2018,11
"ADS",3,0,2018,12
"ADS",6,4,2019,1
"ADS",5,6,2019,2
"ADS",9,7,2019,3
"ADS",2,0,2019,4
"ADS",7,9,2019,5
"ADS",2,4,2019,6
"ADS",1,0,2019,7
"ADS",4,0,2019,8
"ADS",1,0,2019,9
"ADS",4,11,2019,10
"ADS",3,2,2019,11
"ADS",2,0,2019,12
"ADW",1,0,2018,8
"ADW",1,0,2018,9
"ADW",2,0,2018,10
"ADW",1,0,2018,12
"ADW",3,0,2019,2
"ADW",2,10,2019,9
"ADW",2,113,2019,10
"AET",60,209,2018,1
"AET",49,162,2018,2
"AET",57,239,2018,3
"AET",61,235,2018,4
"AET",57,254,2018,5
"AET",60,262,2018,6
"AET",43,174,2018,7
"AET",64,307,2018,8
"AET",50,211,2018,9
"AET",45,173,2018,10
"AET",51,200,2018,11
"AET",61,182,2018,12
"AET",58,217,2019,1
"AET",53,213,2019,2
"AET",43,178,2019,3
"AET",63,248,2019,4
"AET",61,234,2019,5
"AET",61,260,2019,6
"AET",77,340,2019,7
"AET",83,387,2019,8
"AET",57,247,2019,9
"AET",53,230,2019,10
"AET",47,172,2019,11
"AET",51,223,2019,12
"AEX",308,8309,2018,1
"AEX",309,9335,2018,2
"AEX",350,10832,2018,3
"AEX",340,10377,2018,4
"AEX",367,11802,2018,5
"AEX",333,10851,2018,6
"AEX",325,10306,2018,7
"AEX",324,10105,2018,8
"AEX",298,9287,2018,9
"AEX",315,9865,2018,10
"AEX",329,11005,2018,11
"AEX",291,9977,2018,12
"AEX",280,8494,2019,1
"AEX",259,8120,2019,2
"AEX",305,10439,2019,3
"AEX",300,10131,2019,4
"AEX",300,11848,2019,5
"AEX",269,10215,2019,6
"AEX",258,10076,2019,7
"AEX",265,9155,2019,8
"AEX",279,9260,2019,9
"AEX",297,11203,2019,10
"AEX",338,11182,2019,11
"AEX",327,12002,2019,12
"AFW",526,202,2018,1
"AFW",448,0,2018,2
"AFW",557,0,2018,3
"AFW",497,169,2018,4
"AFW",552,0,2018,5
"AFW",524,263,2018,6
"AFW",510,79,2018,7
"AFW",587,0,2018,8
"AFW",476,340,2018,9
"AFW",477,302,2018,10
"AFW",593,472,2018,11
"AFW",589,219,2018,12
"AFW",527,0,2019,1
"AFW",489,30,2019,2
"AFW",544,389,2019,3
"AFW",539,353,2019,4
"AFW",555,4,2019,5
"AFW",491,510,2019,6
"AFW",503,0,2019,7
"AFW",517,0,2019,8
"AFW",447,444,2019,9
"AFW",617,316,2019,10
"AFW",555,465,2019,11
"AFW",675,173,2019,12
"AGC",1,0,2018,1
"AGC",1,2,2018,3
"AGC",2,6,2018,4
"AGC",2,3,2018,5
"AGC",2,2,2018,6
"AGC",1,2,2018,7
"AGC",3,9,2018,9
"AGC",2,5,2018,10
"AGC",1,2,2018,11
"AGC",1,1,2019,3
"AGC",1,2,2019,4
"AGC",2,6,2019,5
"AGC",1,3,2019,9
"AGC",3,10,2019,10
"AGC",2,4,2019,12
"AGN",46,129,2018,1
"AGN",38,103,2018,2
"AGN",94,169,2018,3
"AGN",81,204,2018,4
"AGN",99,265,2018,5
"AGN",95,271,2018,6
"AGN",119,330,2018,7
"AGN",106,286,2018,8
"AGN",73,213,2018,9
"AGN",70,217,2018,10
"AGN",63,214,2018,11
"AGN",52,137,2018,12
"AGN",42,126,2019,1
"AGN",54,117,2019,2
"AGN",97,163,2019,3
"AGN",93,216,2019,4
"AGN",104,246,2019,5
"AGN",99,252,2019,6
"AGN",112,305,2019,7
"AGN",110,332,2019,8
"AGN",89,258,2019,9
"AGN",66,216,2019,10
"AGN",68,238,2019,11
"AGN",65,206,2019,12
"AGS",402,20039,2018,1
"AGS",385,20474,2018,2
"AGS",452,23978,2018,3
"AGS",484,33773,2018,4
"AGS",449,28128,2018,5
"AGS",398,24982,2018,6
"AGS",404,25031,2018,7
"AGS",420,25692,2018,8
"AGS",389,24774,2018,9
"AGS",406,27014,2018,10
"AGS",395,27224,2018,11
"AGS",368,22973,2018,12
"AGS",394,21757,2019,1
"AGS",352,20995,2019,2
"AGS",465,27428,2019,3
"AGS",546,38005,2019,4
"AGS",473,30270,2019,5
"AGS",465,28214,2019,6
"AGS",468,26598,2019,7
"AGS",477,27035,2019,8
"AGS",427,27860,2019,9
"AGS",438,29115,2019,10
"AGS",428,28255,2019,11
"AGS",443,27600,2019,12
"AHN",1,0,2018,2
"AHN",3,98,2018,3
"AHN",7,27,2018,5
"AHN",1,3,2018,6
"AHN",6,320,2018,9
"AHN",11,503,2018,10
"AHN",4,157,2018,11
"AHN",1,39,2019,1
"AHN",1,40,2019,2
"AHN",1,0,2019,4
"AHN",1,46,2019,5
"AHN",2,14,2019,7
"AHN",2,160,2019,8
"AHN",7,151,2019,9
"AHN",4,159,2019,10
"AHN",13,454,2019,11
"AHN",3,175,2019,12
"AIA",105,551,2018,1
"AIA",85,409,2018,2
"AIA",96,502,2018,3
"AIA",93,417,2018,4
"AIA",101,550,2018,5
"AIA",100,500,2018,6
"AIA",85,414,2018,7
"AIA",81,392,2018,8
"AIA",74,354,2018,9
"AIA",81,377,2018,10
"AIA",76,362,2018,11
"AIA",77,336,2018,12
"AIA",78,289,2019,1
"AIA",69,303,2019,2
"AIA",66,256,2019,3
"AIA",75,331,2019,4
"AIA",42,202,2019,5
"AIA",50,199,2019,6
"AIA",55,260,2019,7
"AIA",53,251,2019,8
"AIA",51,218,2019,9
"AIA",54,245,2019,10
"AIA",49,226,2019,11
"AIA",53,304,2019,12
"AIK",1,11,2018,2
"AIK",1,2,2018,4
"AIK",1,3,2019,3
"AIK",2,6,2019,4
"AIN",104,418,2018,1
"AIN",68,255,2018,2
"AIN",105,387,2018,3
"AIN",109,311,2018,4
"AIN",115,417,2018,5
"AIN",123,388,2018,6
"AIN",119,338,2018,7
"AIN",116,401,2018,8
"AIN",104,316,2018,9
"AIN",124,491,2018,10
"AIN",110,336,2018,11
"AIN",115,419,2018,12
"AIN",116,340,2019,1
"AIN",113,333,2019,2
"AIN",112,377,2019,3
"AIN",109,327,2019,4
"AIN",94,379,2019,5
"AIN",141,413,2019,6
"AIN",124,382,2019,7
"AIN",147,516,2019,8
"AIN",119,416,2019,9
"AIN",104,361,2019,10
"AIN",141,387,2019,11
"AIN",108,376,2019,12
"AIZ",1,0,2019,8
"AKB",9,15,2018,1
"AKB",6,10,2018,2
"AKB",11,26,2018,3
"AKB",11,26,2018,4
"AKB",10,32,2018,5
"AKB",6,8,2018,6
"AKB",8,25,2018,7
"AKB",13,40,2018,8
"AKB",13,41,2018,9
"AKB",13,27,2018,10
"AKB",10,24,2018,11
"AKB",9,11,2018,12
"AKB",8,13,2019,1
"AKB",6,7,2019,2
"AKB",11,24,2019,3
"AKB",10,20,2019,4
"AKB",16,39,2019,5
"AKB",11,14,2019,6
"AKB",14,31,2019,7
"AKB",8,35,2019,8
"AKB",14,27,2019,9
"AKB",11,23,2019,10
"AKB",9,16,2019,11
"AKB",12,26,2019,12
"AKI",143,313,2018,1
"AKI",87,213,2018,2
"AKI",99,195,2018,3
"AKI",156,349,2018,4
"AKI",141,309,2018,5
"AKI",119,251,2018,6
"AKI",195,377,2018,7
"AKI",154,271,2018,8
"AKI",154,264,2018,9
"AKI",203,431,2018,10
"AKI",75,196,2018,11
"AKI",144,313,2018,12
"AKI",88,189,2019,1
"AKI",83,157,2019,2
"AKI",131,262,2019,3
"AKI",237,560,2019,4
"AKI",142,315,2019,5
"AKI",72,167,2019,6
"AKI",129,201,2019,7
"AKI",128,219,2019,8
"AKI",147,290,2019,9
"AKI",159,381,2019,10
"AKI",153,376,2019,11
"AKI",122,257,2019,12
"AKK",25,64,2018,1
"AKK",23,45,2018,2
"AKK",34,77,2018,3
"AKK",8,12,2018,4
"AKK",39,78,2018,5
"AKK",59,79,2018,6
"AKK",32,66,2018,7
"AKK",57,137,2018,8
"AKK",63,203,2018,9
"AKK",30,42,2018,10
"AKK",28,59,2018,11
"AKK",22,46,2018,12
"AKK",23,29,2019,1
"AKK",22,38,2019,2
"AKK",32,73,2019,3
"AKK",35,64,2019,4
"AKK",42,76,2019,5
"AKK",60,73,2019,6
"AKK",72,117,2019,7
"AKK",68,234,2019,9
"AKK",54,125,2019,10
"AKK",30,61,2019,11
"AKK",22,44,2019,12
"AKN",262,1791,2018,1
"AKN",230,1061,2018,2
"AKN",308,1457,2018,3
"AKN",346,1365,2018,4
"AKN",532,3334,2018,5
"AKN",939,5010,2018,6
"AKN",1587,16559,2018,7
"AKN",749,7611,2018,8
"AKN",540,4763,2018,9
"AKN",368,2316,2018,10
"AKN",272,1663,2018,11
"AKN",257,1728,2018,12
"AKN",231,1550,2019,1
"AKN",210,1632,2019,2
"AKN",257,1504,2019,3
"AKN",238,1733,2019,4
"AKN",445,3074,2019,5
"AKN",840,4578,2019,6
"AKN",1467,16537,2019,7
"AKN",733,7202,2019,8
"AKN",492,4245,2019,9
"AKN",295,2321,2019,10
"AKN",273,2622,2019,11
"AKN",283,2668,2019,12
"AKP",92,245,2018,1
"AKP",91,275,2018,2
"AKP",100,363,2018,3
"AKP",98,280,2018,4
"AKP",100,312,2018,5
"AKP",95,361,2018,6
"AKP",91,318,2018,7
"AKP",105,366,2018,8
"AKP",80,230,2018,9
"AKP",85,304,2018,10
"AKP",74,312,2018,11
"AKP",84,271,2018,12
"AKP",81,326,2019,1
"AKP",83,226,2019,2
"AKP",83,412,2019,3
"AKP",81,283,2019,4
"AKP",86,378,2019,5
"AKP",86,303,2019,6
"AKP",101,343,2019,7
"AKP",91,373,2019,8
"AKP",77,231,2019,9
"AKP",84,350,2019,10
"AKP",72,255,2019,11
"AKP",85,360,2019,12
"ALB",1696,103271,2018,1
"ALB",1558,101974,2018,2
"ALB",1846,125004,2018,3
"ALB",1865,120921,2018,4
"ALB",1954,124074,2018,5
"ALB",1787,122721,2018,6
"ALB",1728,136848,2018,7
"ALB",1774,138668,2018,8
"ALB",1632,111929,2018,9
"ALB",1821,131964,2018,10
"ALB",1716,117766,2018,11
"ALB",1694,114534,2018,12
"ALB",1554,106043,2019,1
"ALB",1494,105911,2019,2
"ALB",1867,130031,2019,3
"ALB",1805,132618,2019,4
"ALB",1664,127842,2019,5
"ALB",1612,128050,2019,6
"ALB",1632,144779,2019,7
"ALB",1630,144273,2019,8
"ALB",1456,119736,2019,9
"ALB",1585,135478,2019,10
"ALB",1532,116065,2019,11
"ALB",1491,116947,2019,12
"ALN",1,4,2018,8
"ALO",58,1711,2018,1
"ALO",50,1466,2018,2
"ALO",58,1589,2018,3
"ALO",56,1797,2018,4
"ALO",57,2094,2018,5
"ALO",50,1794,2018,6
"ALO",54,2035,2018,7
"ALO",58,2227,2018,8
"ALO",58,2324,2018,9
"ALO",62,2501,2018,10
"ALO",57,2411,2018,11
"ALO",58,2024,2018,12
"ALO",49,1579,2019,1
"ALO",41,1592,2019,2
"ALO",61,2108,2019,3
"ALO",58,1854,2019,4
"ALO",63,2208,2019,5
"ALO",59,1984,2019,6
"ALO",59,2013,2019,7
"ALO",59,1919,2019,8
"ALO",57,2173,2019,9
"ALO",63,2438,2019,10
"ALO",56,1757,2019,11
"ALO",61,1895,2019,12
"ALS",102,498,2018,1
"ALS",83,442,2018,2
"ALS",100,533,2018,3
"ALS",101,533,2018,4
"ALS",106,591,2018,5
"ALS",102,703,2018,6
"ALS",108,715,2018,7
"ALS",107,736,2018,8
"ALS",101,637,2018,9
