,Arrivals Busyness ID,Avg Daily Arrivals (Month and Weekday)
162,A-ABI-9-1,6.5
163,A-ABI-9-2,6.5
164,A-ABI-9-3,6.5
165,A-ABI-9-4,6.5
166,A-ABI-9-5,4.444444444444445
167,A-ABI-9-6,5.9
168,A-ABQ-1-0,69.55555555555556
169,A-ABQ-1-1,66.3
170,A-ABQ-1-2,68.7
171,A-ABQ-1-3,73.0
172,A-ABQ-1-4,72.0
173,A-ABQ-1-5,52.625
174,A-ABQ-1-6,69.375
175,A-ABQ-10-0,81.55555555555556
176,A-ABQ-10-1,76.8
177,A-ABQ-10-2,78.5
178,A-ABQ-10-3,80.22222222222223
179,A-ABQ-10-4,84.375
180,A-ABQ-10-5,68.875
181,A-ABQ-10-6,85.0
182,A-ABQ-11-0,79.5
183,A-ABQ-11-1,75.0
184,A-ABQ-11-2,76.75
185,A-ABQ-11-3,70.77777777777777
186,A-ABQ-11-4,74.1
187,A-ABQ-11-5,67.33333333333333
188,A-ABQ-11-6,79.125
189,A-ABQ-12-0,71.3
190,A-ABQ-12-1,68.11111111111111
191,A-ABQ-12-2,71.5
192,A-ABQ-12-3,77.875
193,A-ABQ-12-4,77.375
194,A-ABQ-12-5,64.55555555555556
195,A-ABQ-12-6,78.6
196,A-ABQ-2-0,69.75
197,A-ABQ-2-1,65.25
198,A-ABQ-2-2,66.25
199,A-ABQ-2-3,71.75
200,A-ABQ-2-4,71.375
201,A-ABQ-2-5,52.0
202,A-ABQ-2-6,64.75
203,A-ABQ-3-0,72.25
204,A-ABQ-3-1,67.625
205,A-ABQ-3-2,70.375
206,A-ABQ-3-3,73.22222222222223
207,A-ABQ-3-4,72.8
208,A-ABQ-3-5,59.2
209,A-ABQ-3-6,76.11111111111111
210,A-ABQ-4-0,74.8
211,A-ABQ-4-1,69.55555555555556
212,A-ABQ-4-2,72.75
213,A-ABQ-4-3,75.25
214,A-ABQ-4-4,74.875
215,A-ABQ-4-5,58.5
216,A-ABQ-4-6,77.88888888888889
217,A-ABQ-5-0,76.375
218,A-ABQ-5-1,74.77777777777777
219,A-ABQ-5-2,75.6
220,A-ABQ-5-3,76.5
221,A-ABQ-5-4,77.11111111111111
222,A-ABQ-5-5,61.0
223,A-ABQ-5-6,75.75
224,A-ABQ-6-0,80.75
225,A-ABQ-6-1,79.375
226,A-ABQ-6-2,80.0
227,A-ABQ-6-3,80.75
228,A-ABQ-6-4,80.11111111111111
229,A-ABQ-6-5,69.8
230,A-ABQ-6-6,84.88888888888889
231,A-ABQ-7-0,80.9
232,A-ABQ-7-1,78.9
233,A-ABQ-7-2,77.77777777777777
234,A-ABQ-7-3,77.75
235,A-ABQ-7-4,79.25
236,A-ABQ-7-5,72.375
237,A-ABQ-7-6,88.66666666666667
238,A-ABQ-8-0,81.625
239,A-ABQ-8-1,79.125
240,A-ABQ-8-2,81.77777777777777
241,A-ABQ-8-3,81.9
242,A-ABQ-8-4,83.1
243,A-ABQ-8-5,67.55555555555556
244,A-ABQ-8-6,86.375
245,A-ABQ-9-0,81.33333333333333
246,A-ABQ-9-1,76.875
247,A-ABQ-9-2,81.375
248,A-ABQ-9-3,80.875
249,A-ABQ-9-4,82.375
250,A-ABQ-9-5,64.33333333333333
251,A-ABQ-9-6,80.7
252,A-ABR-1-0,1.8888888888888888
253,A-ABR-1-1,1.9
254,A-ABR-1-2,2.0
255,A-ABR-1-3,2.0
256,A-ABR-1-4,2.0
257,A-ABR-1-5,2.0
258,A-ABR-1-6,2.0
259,A-ABR-10-0,2.4444444444444446
260,A-ABR-10-1,2.2
261,A-ABR-10-2,2.2
262,A-ABR-10-3,2.5555555555555554
263,A-ABR-10-4,2.5
264,A-ABR-10-5,2.0
265,A-ABR-10-6,2.0
266,A-ABR-11-0,2.625
267,A-ABR-11-1,2.0
268,A-ABR-11-2,2.125
269,A-ABR-11-3,2.4444444444444446
270,A-ABR-11-4,2.6
271,A-ABR-11-5,2.111111111111111
272,A-ABR-11-6,2.125
273,A-ABR-12-0,2.1
274,A-ABR-12-1,2.0
275,A-ABR-12-2,2.0
276,A-ABR-12-3,2.0
277,A-ABR-12-4,2.0
278,A-ABR-12-5,2.0
279,A-ABR-12-6,2.1
280,A-ABR-2-0,2.0
281,A-ABR-2-1,2.0
282,A-ABR-2-2,2.0
283,A-ABR-2-3,2.0
284,A-ABR-2-4,2.0
285,A-ABR-2-5,2.0
286,A-ABR-2-6,2.0
287,A-ABR-3-0,2.0
288,A-ABR-3-1,2.0
289,A-ABR-3-2,2.0
290,A-ABR-3-3,2.0
291,A-ABR-3-4,2.0
292,A-ABR-3-5,2.1
293,A-ABR-3-6,2.0
294,A-ABR-4-0,2.0
295,A-ABR-4-1,2.0
296,A-ABR-4-2,2.0
297,A-ABR-4-3,2.0
298,A-ABR-4-4,2.0
299,A-ABR-4-5,2.0
300,A-ABR-4-6,2.0
301,A-ABR-5-0,2.0
302,A-ABR-5-1,2.0
303,A-ABR-5-2,2.0
304,A-ABR-5-3,2.0
305,A-ABR-5-4,2.0
306,A-ABR-5-5,2.0
307,A-ABR-5-6,1.875
308,A-ABR-6-0,2.0
309,A-ABR-6-1,2.0
310,A-ABR-6-2,2.0
311,A-ABR-6-3,2.0
312,A-ABR-6-4,2.0
313,A-ABR-6-5,2.0
314,A-ABR-6-6,2.0
315,A-ABR-7-0,2.0
316,A-ABR-7-1,2.0
317,A-ABR-7-2,1.8888888888888888
318,A-ABR-7-3,2.0
319,A-ABR-7-4,2.0
320,A-ABR-7-5,2.0
321,A-ABR-7-6,2.0
322,A-ABR-8-0,2.0
323,A-ABR-8-1,2.0
324,A-ABR-8-2,2.0
325,A-ABR-8-3,2.0
326,A-ABR-8-4,2.0
327,A-ABR-8-5,2.0
328,A-ABR-8-6,2.0
329,A-ABR-9-0,2.0
330,A-ABR-9-1,2.0
331,A-ABR-9-2,2.0
332,A-ABR-9-3,2.0
333,A-ABR-9-4,2.0
334,A-ABR-9-5,2.0
335,A-ABR-9-6,2.0
336,A-ABY-1-0,2.888888888888889
337,A-ABY-1-1,2.7
338,A-ABY-1-2,2.6
339,A-ABY-1-3,2.7777777777777777
340,A-ABY-1-4,2.75
341,A-ABY-1-5,2.0
342,A-ABY-1-6,2.75
343,A-ABY-10-0,3.0
