,,Different Marketer & Operator Carrier Code,Flight Number,Flight Year,Flight Month,Flight Day,Flight Weekday,Proportion of freight to the payload,Proportion of mail to the payload,Proportion of filled seats,Average payload (lbs),Average number of available seats,Distance interval (x500mi),Distance (miles),Scheduled Elapsed Time,Flights Count_origin,Average Flights Per Day_origin,Busyness Score_origin,Scheduled hour of departure,Precipitation (mm)_origin,Snowfall (mm)_origin,Maximum Temperature (*C)_origin,Avg Pressure for the day (hPa)_origin,Avg Wind Speed (m/s)_origin,Avg Humidity (%)_origin,Fog_origin,Thunder_origin,Smoke_or_Haze_origin,Flights Count_destination,Average Flights Per Day_destination,Busyness Score_destination,Scheduled hour of arrival,Precipitation (mm)_destination,Snowfall (mm)_destination,Maximum Temperature (*C)_destination,Avg Pressure for the day (hPa)_destination,Avg Wind Speed (m/s)_destination,Avg Humidity (%)_destination,Fog_destination,Thunder_destination,Smoke_or_Haze_destination,Departure Delay (minutes),Arrival Delay (minutes),Carrier Delay (minutes),Weather Delay (minutes),National Air System Delay (minutes),Security Delay (minutes),Late Aircraft Delay (minutes),cancelled,cancellation_code,diverted,Operator - Unique Carrier Code2_9E,Operator - Unique Carrier Code2_9K,Operator - Unique Carrier Code2_AA,Operator - Unique Carrier Code2_AS,Operator - Unique Carrier Code2_AX,Operator - Unique Carrier Code2_B6,Operator - Unique Carrier Code2_C5,Operator - Unique Carrier Code2_CP,Operator - Unique Carrier Code2_DL,Operator - Unique Carrier Code2_EM,Operator - Unique Carrier Code2_EV,Operator - Unique Carrier Code2_F9,Operator - Unique Carrier Code2_G4,Operator - Unique Carrier Code2_G7,Operator - Unique Carrier Code2_HA,Operator - Unique Carrier Code2_KS,Operator - Unique Carrier Code2_MQ,Operator - Unique Carrier Code2_NK,Operator - Unique Carrier Code2_OH,Operator - Unique Carrier Code2_OO,Operator - Unique Carrier Code2_PT,Operator - Unique Carrier Code2_QX,Operator - Unique Carrier Code2_UA,Operator - Unique Carrier Code2_VX,Operator - Unique Carrier Code2_WN,Operator - Unique Carrier Code2_YV,Operator - Unique Carrier Code2_YX,Operator - Unique Carrier Code2_ZW,Aircraft group2_4.0,Aircraft group2_6.0,Aircraft group2_UNK,Aircraft type2_432.0,Aircraft type2_441.0,Aircraft type2_482.0,Aircraft type2_530.0,Aircraft type2_608.0,Aircraft type2_612.0,Aircraft type2_614.0,Aircraft type2_622.0,Aircraft type2_623.0,Aircraft type2_624.0,Aircraft type2_626.0,Aircraft type2_627.0,Aircraft type2_629.0,Aircraft type2_631.0,Aircraft type2_634.0,Aircraft type2_638.0,Aircraft type2_655.0,Aircraft type2_656.0,Aircraft type2_673.0,Aircraft type2_675.0,Aircraft type2_676.0,Aircraft type2_677.0,Aircraft type2_678.0,Aircraft type2_687.0,Aircraft type2_694.0,Aircraft type2_696.0,Aircraft type2_698.0,Aircraft type2_699.0,Aircraft type2_721.0,Aircraft type2_722.0,Aircraft type2_723.0,Aircraft type2_887.0,Aircraft type2_888.0,Aircraft type2_UNK,Aircraft configuration2_1.0,Aircraft configuration2_2.0,Aircraft configuration2_UNK,Service class2_F,Service class2_G,Service class2_L,Service class2_UNK,Airport Type_origin2_large_airport,Airport Type_origin2_medium_airport,Airport Type_origin2_small_airport,Airport Type_destination2_large_airport,Airport Type_destination2_medium_airport,Airport Type_destination2_small_airport
31,Precipitation (mm)_destination,-0.01027768,-0.013054526,-0.016097102,0.027476199,-0.001000892,0.010853523,0.001089207,-0.014812809,0.001774833,0.008749593,0.005825051,-0.003647007,-0.007386321,-0.012798262,0.003021928,0.000535903,0.009078524,0.006471408,0.13501997,-0.006112729,0.055676554,0.039231302,0.026606763,0.095725058,0.077583031,,,-0.001997796,-0.004071076,0.000471563,0.005822424,1,0.086525244,0.040776475,0.089555319,0.096378066,0.268792841,0.284363902,,,0.054320037,0.091903212,0.022281879,0.012430082,0.074941189,0.006322232,0.038871935,,,,0.009908445,-0.000989887,0.010597105,-0.021382022,-0.01587014,0.014870364,0.006199895,-0.026862316,0.0168823,0.012662167,0.006962287,-0.009615457,0.00432092,0.000273503,0.053080805,-0.004252554,0.008281828,0.005765244,0.018183881,-0.039451564,0.009463864,-0.018154088,-0.010166342,0.001377328,-0.016282586,-0.009795325,0.022344258,0.010502315,-0.01060284,0.008679159,-0.001656626,-0.004252554,0.012699543,-0.01454802,-0.002056906,0.039510827,-0.016083361,-0.008473608,0.007382208,0.003701038,-0.002725218,0.005871063,0.009548251,-0.015849401,0.005115257,-0.004091081,0.005039377,0.028025544,0.009269919,-0.016160839,0.006109271,0.004210108,0.010108058,0.012877636,0.005216189,0.010056436,0.005014216,0.002339057,0.00129753,0.008626834,-0.008924826,-0.005836896,-0.001346415,-0.01886354,-0.001656626,0.003256957,-0.006284815,-0.001656626,0.002958911,-0.006284815,0.001991612,-0.001656626,-0.001395724,0.002246162,-0.006278052,0.006754232,-0.005459916,-0.01067716
32,Snowfall (mm)_destination,0.019006382,0.012138046,0.005481056,-0.073411315,-0.003676112,-0.003897967,0.001396309,0.006066487,-0.003489596,-0.019423946,-0.022141199,-0.004489122,-0.005522635,-0.003744734,0.00155291,0.007298979,-0.025799109,0.001976452,-0.002179769,0.085406954,-0.138857115,-0.011877257,0.04588005,0.005065783,0.020149738,,,-0.021649912,-0.015071334,-0.041438337,-0.000162595,0.086525244,1,-0.243916098,-0.076442119,0.101856745,0.065621588,0.134221772,,,0.028646688,0.040065101,0.0083722,0.008354557,0.036078799,-0.001962957,0.025034663,,,,0.008053712,-0.001517404,-0.013744916,-0.002052389,0.011420031,0.001600937,0.00240711,-0.007382684,0.003216966,-0.002452219,-0.000824516,0.001497333,-0.005072584,0.007814384,-0.009228746,0.002775446,-0.000108763,-0.005871693,-0.011678452,0.030532952,-0.000116737,-0.003672929,0.006783967,-0.000359487,-0.014894475,-0.00988084,0.005570762,0.005983293,-0.0017544,0.002358299,-0.001565706,0.002775446,-0.002452219,-0.001727774,0.004671115,-0.005682687,-0.012923223,-0.005816754,-0.003692722,0.006160926,-0.001905394,0.000110948,-0.003827024,0.023046081,0.002689167,-0.002290303,0.000454351,-0.014676055,-0.000662929,0.004034661,0.007209233,-0.00773808,0.005165725,0.010452215,-0.001072932,-0.002686777,-0.003575779,0.002490478,-0.008085448,-0.000843252,0.001307561,-0.001210164,0.002383373,0.007893195,-0.001565706,-0.002062529,0.013711621,-0.001565706,-0.001763795,0.013711621,-0.002023307,-0.001565706,0.005939331,-0.007387394,0.006855345,-0.008316379,0.007614713,0.006423239
33,Maximum Temperature (*C)_destination,-0.095948486,-0.05912729,-0.00250283,0.14653677,0.014810104,0.0104634,-0.004390793,-0.027020206,0.05085043,0.089003381,0.099670947,0.035324283,0.035781994,0.018367406,0.023194257,-0.005216051,0.146456834,0.005140429,0.05607318,-0.139167941,0.639614056,-0.017015,-0.09132065,0.001544152,-0.064934996,,,0.012467303,-0.020388281,0.162601243,0.013084208,0.040776475,-0.243916098,1,-0.002454975,-0.175836342,-0.112420873,-0.123573134,,,0.008067078,0.005673119,0.003992749,0.006904298,-0.020094868,4.53E-05,0.001729808,,,,-0.033578235,0.010502706,0.052629809,-0.036992428,-0.027488909,0.009949219,-0.013707361,0.007928264,0.001880672,0.023117876,-0.01895289,0.019513579,0.018127373,-0.036267244,0.073946742,-0.018314981,-0.019001916,0.024737905,0.001414753,-0.058110164,-0.014750729,-0.034426761,-0.010910264,-0.013342525,0.054397172,0.030753902,-0.026542687,-0.041013563,-0.024819432,0.022002213,-0.006260817,-0.018314981,0.023117876,-0.030946412,-0.010986227,0.028586396,0.040507558,0.028992382,0.018868209,-0.005827723,-0.006830892,0.005811904,0.019720841,-0.062606163,-0.029301412,-0.000527735,-0.006117474,0.021740287,0.010192624,-0.025519188,-0.049457294,0.018386146,-0.024789231,-0.01758064,0.005883274,0.019604544,0.015056128,0.013008124,0.033539719,0.01577085,0.016282392,-0.007358158,-0.00626686,-0.023190682,-0.006260817,0.015403247,-0.035810942,-0.006260817,0.014604318,-0.035810942,0.004847394,-0.006260817,-0.007511851,0.009163048,-0.009749588,0.008700551,-0.00474932,-0.032053585
34,Avg Pressure for the day (hPa)_destination,-0.047870172,-0.078641106,-0.013924549,-0.011040292,-0.002104468,-0.004047759,0.012667244,-0.018498785,-0.063756161,0.050715395,0.054924108,0.048889473,0.052430193,0.047965133,0.027687683,0.02951012,-0.012926184,0.008045776,0.03183916,-0.011138151,-0.016727998,0.228907518,0.005241621,0.078313495,0.020485197,,,-0.126603979,-0.127350821,-0.021704069,-0.018042337,0.089555319,-0.076442119,-0.002454975,1,-0.052743531,0.284507846,0.060107945,,,0.010512018,0.00130915,0.002829464,0.00266345,0.027708076,0.00296861,-0.003620872,,,,0.051486582,0.003429836,0.073725571,0.066281903,-0.136987106,0.103935378,0.040214516,-0.013779797,-0.003994469,0.016505251,0.029052265,-0.084197581,-0.016058581,-0.035026327,0.064114669,0.002375468,0.030620291,0.031030401,0.051051658,-0.183085268,0.049544925,-0.008763344,-0.042370922,0.014457394,-0.055356624,-0.020466288,0.067622354,0.016691618,-0.00296761,-0.014190285,0.02323759,0.002375468,0.016505251,-0.007923527,0.001003572,0.042121928,-0.047513557,-0.004237336,0.040890515,0.012777607,0.019826814,-0.0137944,0.014470374,-0.090425594,-0.038648553,0.009969359,0.025321705,0.016898927,-0.000616736,-0.009489423,0.002241563,0.02583433,0.016219768,0.077816746,0.003284315,0.050856382,0.018205627,0.007194464,0.055203059,0.020402902,-0.083757448,-0.016782839,0.001354102,-0.034250076,0.02323759,-0.026612357,0.015309966,0.02323759,-0.027157501,0.015309966,0.005690474,0.02323759,0.072232859,-0.065275511,-0.047671194,0.098391181,-0.091676653,-0.098414839
35,Avg Wind Speed (m/s)_destination,-0.018193233,-0.030192482,-0.019032166,-0.124974587,0.017136284,0.007866934,0.013561423,0.031683729,-0.005546197,0.015918455,0.015095837,0.04667502,0.043099002,0.042167427,-0.031185165,-0.02812083,-0.010376955,0.003387359,0.03153523,0.047145121,-0.088651851,0.005950811,0.197578903,-0.013172733,0.001675533,,,0.066582336,0.070446931,-0.021914181,0.003949874,0.096378066,0.101856745,-0.175836342,-0.052743531,1,-0.075385137,-0.016200648,,,0.023173778,0.042759992,0.002206763,0.000386241,0.055862694,-0.003729739,0.016651124,,,,0.019162466,0.014275264,-0.015374074,-0.014343483,0.024176572,0.047319767,-0.005113795,-0.02301697,0.000531543,0.012162246,0.013876418,0.003143107,-0.014837531,0.010007685,0.051309108,-0.00477081,0.016660036,0.006455727,-0.05510344,-0.006576585,-0.02132736,-0.04298795,0.044639766,-0.004340017,-0.02726617,-0.018842155,0.025701667,0.000723604,-0.031144221,0.021787503,0.000687558,-0.00477081,0.012024563,-0.035216454,0.000873389,0.027195238,-0.024917392,-0.004741788,0.009041559,0.002469199,0.008354091,0.000577355,0.019555209,-0.003309676,-0.020809888,-0.008418859,-0.015846375,-0.01187733,-0.002273566,-0.006707743,0.005314781,0.012311472,0.024660218,0.038322632,0.003674073,0.007154134,0.006054681,-0.012768787,0.019206046,0.011285662,0.001526372,0.004519469,-0.002051356,0.017955319,0.000687558,-5.61E-05,-0.002283106,0.000687558,0.000439277,-0.002283106,-0.003655801,0.000687558,-0.012747509,0.01139263,0.008183066,0.048819779,-0.047892634,-0.014124447
36,Avg Humidity (%)_destination,0.071357589,0.039001273,-0.038533207,0.047794232,0.003132878,-0.002548963,0.003136264,-0.01595291,-0.049159292,-0.066627637,-0.07937967,-0.044674141,-0.044361814,-0.044983287,0.052971175,0.054580828,-0.008500209,0.010915637,0.0912206,-0.001336773,0.00936546,0.085659859,-0.012782089,0.168511324,0.104312634,,,-0.080804012,-0.083358365,0.008924169,-0.007995768,0.268792841,0.065621588,-0.112420873,0.284507846,-0.075385137,1,0.483926842,,,0.023161363,0.04985725,0.010671071,0.01285488,0.049477269,0.001429485,0.017479543,,,,0.040651622,0.005662973,-0.01511702,0.009598468,-0.00561768,0.027658808,0.016844616,-0.033511673,0.009716013,-0.004471955,0.029476935,-0.020477542,-0.017147434,0.019045458,0.005384148,0.002708847,0.054582751,-0.011428634,0.056939225,-0.0168444,0.024873728,-0.002144972,-0.006394846,-0.002706399,-0.089498617,-0.026152596,0.027241438,0.038250073,-0.001141432,-0.005581279,0.009114886,0.002708847,-0.004471955,-0.000157872,0.003771351,0.024028471,-0.069838469,-0.033082582,0.013906419,0.008316038,0.003445173,-0.008279737,0.001863996,0.034710085,0.018667492,0.003524442,0.028355933,0.032373298,0.000296627,-0.001719836,0.046820221,0.027960224,0.011586791,0.012909183,-0.000312355,0.01376753,-0.007346889,-0.005251591,-0.035992425,0.003265726,-0.021612788,-0.009918874,0.003084894,-0.017414138,0.009114886,-0.012054468,0.011793056,0.009114886,-0.012598528,0.011793056,0.004670023,0.009114886,0.028597654,-0.027442084,-0.009922846,-0.076258647,0.077359265,-0.014069758
37,Fog_destination,0.024872553,0.017592599,-0.008325183,0.020965684,-0.010408886,-0.001266427,-0.009305357,-0.009009498,0.000130205,-0.022255523,-0.029101603,-0.015723318,-0.016718782,-0.013926924,0.033622753,0.038274146,-0.022532217,0.000984191,0.070153462,0.023825131,-0.064983085,0.02135292,0.006533133,0.100207565,0.116658685,,,-0.026341597,-0.021607031,-0.036093215,0.002189077,0.284363902,0.134221772,-0.123573134,0.060107945,-0.016200648,0.483926842,1,,,0.04561048,0.076214246,0.013681418,0.008584267,0.075340881,0.002721151,0.029037955,,,,0.018542278,0.001398924,-0.024209243,5.64E-05,0.001727608,0.016956417,0.007477727,-0.006105863,0.012068821,-0.017178857,-0.008382061,-0.000209095,0.004421767,-0.0002223,-0.020679409,-0.005206603,-0.001960473,-0.009054969,0.040678218,-0.006425709,0.018308981,0.010149392,-0.005060965,0.005114488,-0.018887183,-0.032763746,0.022728041,0.024776159,0.003118583,-0.0029676,0.001068237,-0.005206603,-0.017092581,0.009301637,0.001886056,-0.004098208,-0.015862803,-0.03185395,0.007273144,0.008279148,0.007290313,-0.002818662,-0.019158893,0.024600849,0.00665613,-0.008829351,0.006264639,0.009281338,0.001220438,-0.004838991,0.015972348,-0.009918099,0.010075311,0.015018808,-0.001089499,0.001722718,-0.00576822,0.00651305,-0.008025229,-0.001777089,0.000935959,-0.011899731,0.004147444,0.001850855,0.001068237,0.001856865,-0.010959353,0.001068237,0.00127362,-0.010959353,0.004200212,0.001068237,0.033026438,-0.032679839,-0.005526708,-0.035730479,0.038736428,-0.021716298
38,Thunder_destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Smoke_or_Haze_destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Departure Delay (minutes),-0.057561645,-0.01989226,0.001661542,-0.006070193,0.00051467,-0.001286258,0.00051569,-0.00384779,0.043889774,0.044178929,0.052752429,0.034598702,0.036614794,0.036114741,0.068877734,0.062670119,0.031230403,-0.05081451,0.07500471,0.040082529,0.00857269,-0.005500602,0.037999624,0.017555989,0.050079426,,,-0.025854558,-0.032694277,0.03209077,-0.078898668,0.054320037,0.028646688,0.008067078,0.010512018,0.023173778,0.023161363,0.04561048,,,1,0.804560887,0.54461565,0.168727525,0.219145254,0.032680309,0.682089962,,,,-0.014390614,-0.006708224,0.01521555,-0.033458727,-0.000270418,0.021472254,0.015202959,-0.006914026,-0.017590742,-0.008757089,-0.011994076,0.019636681,-0.004940228,-0.00875969,-0.024505901,0.000591684,-0.011300568,-0.010251078,0.004500576,-0.034624067,-0.012954157,-0.010257245,-0.008056922,-0.006294783,0.093279227,-0.008639896,-0.025842492,-0.015945962,-0.011740996,0.013456489,-0.007205648,0.000591684,-0.008919748,-0.009448683,0.003192167,-0.028071279,0.080675505,0.013292291,0.00012025,0.001413643,0.001733314,0.002068113,0.004699356,-0.032661866,-0.01594039,-0.001495193,-0.00458896,-0.010746147,-0.004941146,-0.029098734,-0.011282615,-0.007603476,-0.010672972,0.000817059,0.001349143,0.002326103,0.00014213,-0.006744685,0.019218699,0.00365263,0.012896362,0.002432243,-0.001605695,-0.017244745,-0.007205648,0.010688316,-0.014281344,-0.007205648,0.010784377,-0.014281344,-0.001419112,-0.007205648,0.060144299,-0.058761344,-0.013319279,-0.003810286,0.003678125,0.000678689
41,Arrival Delay (minutes),-0.004932361,0.004212276,-0.011721118,-0.001674234,-0.001989185,-0.0079808,-0.0011603,-0.026935952,0.016107125,-0.00103848,0.001140313,-0.02713501,-0.02697149,-0.039567047,0.053868103,0.045391076,0.045441256,-0.04321777,0.086990309,0.068674158,0.017073059,-0.017189684,0.03811883,0.038568314,0.071958307,,,-0.02156727,-0.030817314,0.047786766,-0.062342363,0.091903212,0.040065101,0.005673119,0.00130915,0.042759992,0.04985725,0.076214246,,,0.804560887,1,0.479148121,0.166151976,0.500431747,0.030419144,0.581108132,,,,-0.026935609,-0.001553288,0.011956658,-0.011697902,0.010329295,0.010915746,0.021956677,-0.003174873,-0.052735486,0.004629001,0.002453749,0.012866455,0.011552332,-0.010119218,0.006964618,0.005097664,0.015667604,-0.010715522,0.013629487,-0.015102211,-0.002956215,0.011193389,-0.001369588,-0.005755588,0.038501751,0.011086434,-0.01130797,-0.009676056,0.01559272,-0.008066184,-0.004153743,0.005097664,0.004277108,0.014451881,0.002977455,-0.021909227,0.037278534,0.000804444,-0.008493644,-0.002322951,-0.013043751,-0.007314824,-0.002668423,-0.01929899,0.00128525,-0.000979532,-0.003625716,-0.011840662,-0.012271155,-0.006161493,0.017849924,0.00706398,-0.008605449,0.005294259,-0.005319691,0.003546658,0.010789947,-0.003579657,-0.000475522,0.007139073,0.006088948,-0.003307377,-0.004028825,-0.017940215,-0.004153743,0.004968502,-0.003661375,-0.004153743,0.00518697,-0.003661375,-0.001960559,-0.004153743,0.024799688,-0.024043916,-0.007408743,-0.022123917,0.021518194,0.005664533
42,Carrier Delay (minutes),-0.012167124,-0.001162776,0.001194146,-0.002474221,-0.00393788,0.001913379,0.005512054,-0.006745976,0.01231861,0.015188112,0.012633477,0.016907457,0.017900851,0.015291252,0.04659914,0.04460983,0.005377509,-0.017187102,0.039660123,0.014518973,0.003727562,-0.004650356,0.021351113,0.008779953,0.0132221,,,-0.039680971,-0.041575836,0.013726274,-0.014399126,0.022281879,0.0083722,0.003992749,0.002829464,0.002206763,0.010671071,0.013681418,,,0.54461565,0.479148121,1,-0.010108125,0.046630946,-0.001423291,0.068730593,,,,-0.002188772,-0.002575221,0.008312272,-0.012446177,0.011144868,0.026265273,0.012115933,-0.00065191,-0.014593543,-0.000115703,0.001062891,0.016205215,0.00304712,-0.001021443,0.008814321,2.81E-05,-0.00757235,-0.012329256,0.000708906,-0.015682257,0.002960964,-0.006116536,-0.008969611,-0.00572416,0.017442863,0.009476236,-0.015098481,0.004159316,-0.005005269,0.003494674,6.61E-05,2.81E-05,-0.001050858,-0.004980016,0.003632345,-0.009669715,0.013811843,0.00506294,-0.002075991,0.003151034,-0.003847134,-0.002992455,0.006794423,-0.007702789,-0.000382293,-0.002354876,0.00125261,-0.005217333,-0.003857986,-0.014737196,0.007808007,-0.00432756,-0.00613226,0.012258649,0.001784946,-0.000440875,0.024305906,0.001046087,0.004985734,0.022323269,0.01237879,-0.001457611,-0.000759338,-0.014214853,6.61E-05,0.000487914,-0.002114418,6.61E-05,0.000881388,-0.002114418,-0.002976841,6.61E-05,0.032761191,-0.032469739,-0.003595308,-0.027015194,0.026309457,0.006271826
43,Weather Delay (minutes),0.006924906,0.004390965,-0.00145998,-0.006109217,0.002435321,-0.000625739,-0.000906816,-0.006731203,0.007582552,-0.004256363,-0.006845271,-0.005672142,-0.00593106,-0.004574045,0.019724659,0.019896013,0.000490277,-0.015899293,0.053693527,0.037874216,0.004256514,0.002426005,-0.000402275,0.026831218,0.034072706,,,-0.006968975,-0.00780369,0.004133742,-0.015854261,0.012430082,0.008354557,0.006904298,0.00266345,0.000386241,0.01285488,0.008584267,,,0.168727525,0.166151976,-0.010108125,1,0.037946575,-0.001070922,0.023557296,,,,0.0002053,-0.000801696,0.008350304,-0.008265158,-0.002989829,-0.001819421,-0.001175512,-0.002670816,-0.001098875,-0.00135018,-0.003335865,-0.001794918,0.006341949,-0.001188341,-0.002154393,0.016156634,0.011669801,-0.001777688,0.008889994,0.002447373,-0.00321174,-0.001900477,0.003383358,-0.002141765,-0.012404088,0.005602432,-0.004709538,0.004085003,-0.002139428,0.005361266,-0.005384913,0.016156634,-0.001341455,-0.004001821,-0.0005286,0.000199423,-0.011801711,0.003227895,-0.002302303,0.000715078,-0.000485096,-0.00224152,-0.003219209,0.00306453,-0.000807869,-0.001398823,0.007476778,0.001996339,-0.001599153,0.005009892,-0.000141201,0.00214206,-0.000825774,-0.001187315,-0.000602703,-0.001452941,-0.002400735,0.002655505,0.005468464,-0.001889635,-0.004449303,-0.003099247,-0.000236391,-0.001051194,-0.005384913,0.00568055,-0.001831795,-0.005384913,0.005757182,-0.001831795,-0.000945658,-0.005384913,0.008391256,-0.008629976,-0.001552468,-0.011720052,0.010880476,0.007376833
44,National Air System Delay (minutes),0.014779554,-0.001923589,-0.005143977,-0.006930927,-0.002790749,-0.006448707,-0.004653247,0.003004006,0.014689977,-0.008956252,-0.008396249,0.027901429,0.02787393,0.035289928,0.011941606,0.00941577,0.009916961,-0.018701093,0.042303693,0.064949876,-0.020837454,-0.001033431,0.027700878,0.041748043,0.0605346,,,0.039238905,0.035573068,0.01667022,-0.027721854,0.074941189,0.036078799,-0.020094868,0.027708076,0.055862694,0.049477269,0.075340881,,,0.219145254,0.500431747,0.046630946,0.037946575,1,0.004482456,0.045874605,,,,-0.000425611,-0.002584017,0.001602871,0.014195886,0.004584542,0.015330098,0.022723233,-0.006218937,-0.017933415,-0.005693274,0.015648829,0.014058736,-0.004400112,-0.000735726,-0.0245076,0.005803159,0.008916623,0.025795283,-0.008867786,-0.002092489,8.32E-05,0.001187092,0.023676012,0.006282512,-0.043108439,-0.003101324,0.024262105,-0.00151042,0.000727333,-0.001764902,0.001749863,0.005803159,-0.005663526,0.002011784,-0.001930232,-0.01836819,-0.040727685,-0.00091894,0.007111759,-0.004370744,-0.001312941,-0.004699972,-0.00150196,-0.006504804,-0.003807089,-0.000461058,-0.005617288,-0.016140079,-0.008652741,0.011748365,0.024043994,0.006780864,0.014607917,0.009435857,-0.000739005,0.018956787,-0.008651679,-0.001378653,0.016570732,-0.005776775,0.008560801,0.006791928,-0.000863203,0.010263312,0.001749863,-0.000918513,-0.002958775,0.001749863,-0.001289457,-0.002958775,0.002836428,0.001749863,0.010063415,-0.009940983,-0.000803482,0.030098758,-0.03024036,0.000447057
45,Security Delay (minutes),-0.001834969,-0.000389946,-0.000292024,0.000144994,0.000631091,0.002674486,0.001504263,0.003932697,0.001382481,0.002536121,0.003055469,0.002942575,0.004174807,0.003094373,-0.000654996,-0.000526651,-0.000664689,-0.002242721,-0.001464797,-0.001761598,0.00193424,0.000841692,-0.00255897,0.002312435,0.003945189,,,-0.005411704,-0.004958966,0.002936032,-0.000888919,0.006322232,-0.001962957,4.53E-05,0.00296861,-0.003729739,0.001429485,0.002721151,,,0.032680309,0.030419144,-0.001423291,-0.001070922,0.004482456,1,0.000283323,,,,-0.002983506,-0.000204603,-0.000382581,0.000238913,-0.001596132,-0.00040041,-0.001277164,-0.001818273,-0.000865748,-0.000574271,-0.002354624,-0.002050775,0.00043795,-0.00167443,-0.001753082,-0.00021754,-0.000302254,0.003818561,0.001778423,0.00379612,-0.001335597,-0.002063091,-0.004868487,-0.000546607,0.006503401,0.00199541,-0.002573443,-0.001853825,-0.001731726,0.002474904,-0.001748831,-0.00021754,-0.000572681,-0.001617482,-0.000134906,-0.002804483,0.007073908,-0.0012199,0.003481661,-0.00084572,-0.000534802,-0.000608216,-0.000821585,0.001239895,0.000856639,-0.000356998,-0.000254886,-0.002795198,-0.00111824,-0.001166729,-0.001532861,-0.001065759,-0.001853825,0.000251805,-0.000153818,0.002861002,-0.000612699,-0.002474959,0.001700547,-0.000577439,-0.001697571,-0.000790969,-6.03E-05,-0.003990159,-0.001748831,0.000804636,0.003391347,-0.001748831,0.00082984,0.003391347,-0.000241344,-0.001748831,-0.002613287,0.002531378,0.000848196,-0.002607404,0.002734511,-0.000828236
46,Late Aircraft Delay (minutes),0.019339976,0.024486061,0.001978037,-0.004129197,0.003410585,-0.005730522,-0.005289454,-0.017494265,-0.01173813,-0.024618077,-0.026253473,-0.025534481,-0.026665114,-0.027033641,0.010364492,0.004644456,0.034240153,-0.045081919,0.046245785,0.031679716,0.001065016,-0.001980326,0.028056006,0.019576661,0.044109953,,,-0.009542376,-0.014907908,0.027322397,-0.058203106,0.038871935,0.025034663,0.001729808,-0.003620872,0.016651124,0.017479543,0.029037955,,,0.682089962,0.581108132,0.068730593,0.023557296,0.045874605,0.000283323,1,,,,2.68E-05,-0.001469867,-0.00045119,-0.013244916,0.012963043,0.013525181,0.013942706,0.005960755,-0.041438408,9.26E-05,0.000285152,0.009637263,0.008200114,0.003550629,-0.016990644,-0.003065081,0.010803983,-0.019441055,0.011815712,0.007150136,0.002317883,-0.003798383,-0.005650011,-0.00391116,0.022819809,0.001161498,-0.003082912,0.00272798,-0.003394237,-0.001018787,0.004787705,-0.003065081,0.000137697,-0.003261996,0.003927443,-0.021255607,0.023965889,-0.0091311,-0.014357514,-0.001526152,-0.005327749,-0.004172434,-0.0062856,0.008758398,0.010229774,-0.000428986,0.006067289,-0.015089825,-0.005369008,-0.000933162,0.012800491,0.008882534,-0.003593531,0.008532584,-0.002167245,0.000502629,-0.006214023,0.000334472,-0.011332277,-0.005269205,0.006654483,-0.003672591,-0.000850032,-0.018792415,0.004787705,-0.003920746,-0.002700977,0.004787705,-0.00362415,-0.002700977,-0.001962978,0.004787705,-0.001354459,0.00154725,-0.001525359,-0.010062448,0.009625391,0.003080805
47,cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,cancellation_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,diverted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
